Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-10 15:25:02.851,0.4,0.0,0,1,1,0,0.676744,1,0.0
zoom,Navigation,2016-06-10 15:25:30.890,0.4,28.039,0,1,1,1,0.626178375,1,0.0
pan,Navigation,2016-06-10 15:25:31.842,0.3333333333333333,0.952,0,1,1,1,0.643234,1,344.24931227838925
zoom,Navigation,2016-06-10 15:25:33.292,0.42857142857142855,1.45,0,1,1,2,0.618309125,1,0.0
pan,Navigation,2016-06-10 15:25:34.353,0.375,1.061,10,1,1,2,0.6766825,1,10.631351591993061
pan,Navigation,2016-06-10 15:25:35.519,0.4444444444444444,1.166,10,1,1,2,0.6766825,1,6.44911049980222
zoom,Navigation,2016-06-10 15:25:36.300,0.4,0.781,10,1,1,3,0.47314325,1,0.0
zoom,Navigation,2016-06-10 15:25:36.795,0.45454545454545453,0.495,10,1,1,4,0.645461125,1,0.0
pan,Navigation,2016-06-10 15:25:37.726,0.4166666666666667,0.931,10,1,1,4,0.627681,1,10.166683422095824
zoom,Navigation,2016-06-10 15:25:38.531,0.46153846153846156,0.805,10,1,1,5,0.613445875,1,0.0
pan,Sensemaking,2016-06-10 15:25:41.503,0.4,2.972,10,1,1,5,0.621945125,1,359.6163215269082
zoom,Navigation,2016-06-10 15:25:45.060,0.5,3.557,10,2,1,4,0.645461125,1,0.0
zoom,Navigation,2016-06-10 15:25:45.315,0.5333333333333333,0.255,10,2,2,3,0.47314325,1,0.0
zoom,Navigation,2016-06-10 15:25:46.035,0.5625,0.72,10,2,2,2,0.66253525,1,0.0
pan,Foraging,2016-06-10 15:25:48.230,0.3333333333333333,2.195,10,2,2,2,0.643423625,1,358.1728161982205
pan,Foraging,2016-06-10 15:25:49.182,0.42857142857142855,0.952,10,2,2,2,0.63406,1,343.4625221194803
pan,Foraging,2016-06-10 15:25:50.383,0.5,1.201,10,2,2,2,0.55998225,1,353.6988425876104
pan,Foraging,2016-06-10 15:25:51.363,0.5555555555555556,0.98,10,2,2,2,0.609440125,1,315.34286840748905
pan,Foraging,2016-06-10 15:25:52.087,0.6,0.724,20,2,2,2,0.6431485,1,342.3015336477083
pan,Foraging,2016-06-10 15:25:53.135,0.6363636363636364,1.048,20,2,2,2,0.6578195,1,20.652477037842228
pan,Foraging,2016-06-10 15:25:53.808,0.6666666666666666,0.673,20,2,2,2,0.6578195,1,6.456264070940699
pan,Foraging,2016-06-10 15:25:54.478,0.6923076923076923,0.67,10,2,2,2,0.6578195,1,15.01795902089425
zoom,Navigation,2016-06-10 15:25:55.555,0.5882352941176471,1.077,10,2,2,3,0.634453125,1,0.0
zoom,Navigation,2016-06-10 15:25:55.939,0.6111111111111112,0.384,10,2,2,4,0.62642325,1,0.0
zoom,Navigation,2016-06-10 15:25:56.371,0.631578947368421,0.432,10,2,2,5,0.590185,2,0.0
pan,Sensemaking,2016-06-10 15:25:57.390,0.5,1.019,10,2,2,5,0.622648875,2,339.0207934821647
pan,Sensemaking,2016-06-10 15:25:58.454,0.5714285714285714,1.064,10,2,2,5,0.626047,2,348.3194284521174
pan,Sensemaking,2016-06-10 15:25:59.919,0.625,1.465,10,2,2,5,0.626047,2,3.5255622251216585
zoom,Navigation,2016-06-10 15:26:02.652,0.65,2.733,10,3,2,4,0.62642325,2,0.0
zoom,Navigation,2016-06-10 15:26:02.971,0.6666666666666666,0.319,10,3,2,3,0.634453125,2,0.0
zoom,Navigation,2016-06-10 15:26:03.179,0.6818181818181818,0.208,10,3,2,2,0.639999875,2,0.0
zoom,Navigation,2016-06-10 15:26:04.051,0.6956521739130435,0.872,10,3,2,1,0.651583625,2,0.0
pan,Foraging,2016-06-10 15:26:04.958,0.7142857142857143,0.907,10,3,2,1,0.57259225,2,17.80934221147654
zoom,Navigation,2016-06-10 15:26:06.179,0.7083333333333334,1.221,10,3,2,2,0.651013625,2,0.0
zoom,Navigation,2016-06-10 15:26:06.395,0.72,0.216,10,3,2,3,0.650957125,2,0.0
pan,Navigation,2016-06-10 15:26:07.265,0.23076923076923078,0.87,10,3,2,3,0.47873325000000005,2,7.426749663201155
zoom,Navigation,2016-06-10 15:26:08.563,0.7037037037037037,1.298,10,3,2,4,0.6228665,2,0.0
pan,Sensemaking,2016-06-10 15:26:10.038,0.6666666666666666,1.475,10,3,2,4,0.6430395,2,337.48863247853683
pan,Sensemaking,2016-06-10 15:26:10.595,0.7,0.557,10,3,2,4,0.64684275,2,341.69568503775156
pan,Sensemaking,2016-06-10 15:26:11.183,0.7272727272727273,0.588,10,3,2,4,0.624639625,2,352.42210618304466
pan,Sensemaking,2016-06-10 15:26:12.791,0.75,1.608,0,3,2,4,0.630646,2,317.0265430126539
pan,Sensemaking,2016-06-10 15:26:13.407,0.7692307692307693,0.616,0,3,2,4,0.642491375,2,338.41379958387654
zoom,Sensemaking,2016-06-10 15:26:14.115,0.14285714285714285,0.708,0,3,2,3,0.634453125,2,0.0
pan,Sensemaking,2016-06-10 15:26:15.191,0.7333333333333333,1.076,10,3,2,3,0.582838,2,350.7944208742439
pan,Sensemaking,2016-06-10 15:26:16.799,0.75,1.608,10,3,2,3,0.582838,2,2.9905018049407115
zoom,Navigation,2016-06-10 15:26:17.438,0.7142857142857143,0.639,10,3,2,4,0.619396625,2,0.0
pan,Navigation,2016-06-10 15:26:18.967,0.2413793103448276,1.529,10,3,2,4,0.583079,2,346.4177205344289
zoom,Navigation,2016-06-10 15:26:19.547,0.7,0.58,10,3,2,5,0.6397081250000001,2,0.0
pan,Sensemaking,2016-06-10 15:26:22.742,0.7647058823529411,3.195,10,3,2,5,0.424681875,2,351.5015249297762
