Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-14 14:20:15.438,0.4,0.0,0,1,1,0,0.676744,1,0.0
zoom,Navigation,2016-06-14 14:20:48.979,0.4,33.541,0,1,1,1,0.626178375,1,0.0
zoom,Navigation,2016-06-14 14:20:49.667,0.5,0.688,0,1,1,2,0.5911005,1,0.0
zoom,Navigation,2016-06-14 14:20:50.370,0.5714285714285714,0.703,0,1,1,3,0.5503321250000001,1,0.0
pan,Sensemaking,2016-06-14 14:20:52.096,0.4,1.726,0,1,1,3,0.606028875,1,5.511678809905948
pan,Sensemaking,2016-06-14 14:20:53.102,0.5,1.006,0,1,1,3,0.5906815,1,346.15837729931235
zoom,Navigation,2016-06-14 14:20:55.019,0.625,1.917,0,1,1,2,0.5911005,1,0.0
zoom,Navigation,2016-06-14 14:20:55.762,0.6666666666666666,0.743,0,1,1,1,0.626178375,1,0.0
pan,Foraging,2016-06-14 14:20:58.477,0.3333333333333333,2.715,0,1,1,1,0.643234,1,357.86876913271766
zoom,Navigation,2016-06-14 14:20:59.043,0.7,0.566,0,1,1,2,0.651013625,1,0.0
zoom,Navigation,2016-06-14 14:21:02.378,0.7272727272727273,3.335,0,1,1,3,0.650957125,1,0.0
zoom,Navigation,2016-06-14 14:21:03.139,0.75,0.761,0,1,1,2,0.651013625,1,0.0
zoom,Navigation,2016-06-14 14:21:03.331,0.7692307692307693,0.192,0,1,1,1,0.626178375,1,0.0
zoom,Navigation,2016-06-14 14:21:03.538,0.7857142857142857,0.207,0,1,1,0,0.676744,1,0.0
zoom,Foraging,2016-06-14 14:21:04.818,0.2857142857142857,1.28,0,1,1,1,0.626178375,1,0.0
pan,Foraging,2016-06-14 14:21:07.982,0.375,3.164,0,1,1,1,0.643234,1,355.8406809852439
pan,Foraging,2016-06-14 14:21:11.906,0.4444444444444444,3.924,0,1,1,1,0.643234,1,4.6245475742940485
pan,Foraging,2016-06-14 14:21:14.565,0.5,2.659,0,1,1,1,0.643234,1,350.89195712538185
zoom,Navigation,2016-06-14 14:21:20.594,0.8,6.029,0,1,1,2,0.618309125,1,0.0
zoom,Navigation,2016-06-14 14:21:22.242,0.8125,1.648,0,1,1,3,0.636739375,1,0.0
zoom,Navigation,2016-06-14 14:21:23.682,0.8235294117647058,1.44,0,1,1,4,0.6228665,1,0.0
zoom,Navigation,2016-06-14 14:21:23.898,0.8333333333333334,0.216,0,1,1,5,0.317124875,1,0.0
pan,Sensemaking,2016-06-14 14:21:26.754,0.5714285714285714,2.856,0,1,1,5,0.600456875,1,7.551746054715041
pan,Sensemaking,2016-06-14 14:21:30.234,0.625,3.48,0,1,1,5,0.6319474999999999,1,340.91768325146063
zoom,Navigation,2016-06-14 14:21:31.316,0.8421052631578947,1.082,0,1,1,4,0.632255625,1,0.0
zoom,Navigation,2016-06-14 14:21:31.738,0.85,0.422,0,1,1,3,0.636739375,1,0.0
zoom,Navigation,2016-06-14 14:21:32.426,0.8571428571428571,0.688,0,1,1,2,0.618309125,1,0.0
zoom,Navigation,2016-06-14 14:21:32.922,0.8636363636363636,0.496,0,1,1,1,0.626178375,1,0.0
