Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Longitude,Latitude,Angle
start,Foraging,2016-06-15 16:26:30.177,0.4,0.0,0,1,1,0,0.6400338750000001,1,52.125,65.8125,0.0
zoom,Navigation,2016-06-15 16:26:42.418,0.4,12.241,0,1,1,1,0.3800685,1,57.0625,30.9375,0.0
zoom,Navigation,2016-06-15 16:26:43.315,0.5,0.897,0,1,1,2,0.338582375,1,36.5,27.0625,0.0
pan,Sensemaking,2016-06-15 16:26:44.631,0.4,1.316,0,1,1,2,0.4277155,1,104.5,79.5,0.538955068864544
pan,Sensemaking,2016-06-15 16:26:46.174,0.5,1.543,0,1,1,2,0.49508512499999996,1,113.5,37.0,1.4413921793794207
pan,Sensemaking,2016-06-15 16:26:59.110,0.5714285714285714,12.936,0,1,1,2,0.6329504375,1,93.625,44.5625,3.8715915952769437
pan,Sensemaking,2016-06-15 16:27:01.739,0.625,2.629,0,1,1,2,0.6327995,1,89.0,44.5,10.58206506098982
pan,Sensemaking,2016-06-15 16:27:03.053,0.6666666666666666,1.314,0,1,1,2,0.6327995,1,89.0,44.5,311.2224927395335
pan,Sensemaking,2016-06-15 16:27:03.988,0.7,0.935,0,1,1,2,0.6442717499999999,1,94.875,45.0625,251.75435239034655
pan,Sensemaking,2016-06-15 16:27:05.695,0.7272727272727273,1.707,0,1,1,2,0.65440125,1,99.375,46.375,259.14019179902925
pan,Sensemaking,2016-06-15 16:27:06.739,0.75,1.044,0,1,1,2,0.6324280625,1,105.0,46.375,251.1711285316807
pan,Sensemaking,2016-06-15 16:27:07.764,0.7692307692307693,1.025,0,1,1,2,0.6480446875,1,97.5625,45.375,219.116658504935
pan,Sensemaking,2016-06-15 16:27:08.679,0.7857142857142857,0.915,0,1,1,2,0.638858375,1,100.125,46.0625,198.4402658675394
pan,Sensemaking,2016-06-15 16:27:09.650,0.8,0.971,0,1,1,2,0.6533806875,1,102.5,46.125,201.72222658378115
pan,Sensemaking,2016-06-15 16:27:10.720,0.8125,1.07,0,1,1,2,0.6373518749999999,1,95.25,44.9375,246.33984408536693
pan,Sensemaking,2016-06-15 16:27:12.560,0.8235294117647058,1.84,0,1,1,2,0.6537195,1,89.0625,46.5,204.53406981569196
pan,Sensemaking,2016-06-15 16:27:13.767,0.8333333333333334,1.207,0,1,1,2,0.6544165625,1,99.6875,46.9375,172.4104365166563
pan,Sensemaking,2016-06-15 16:27:15.530,0.8421052631578947,1.763,0,1,1,2,0.66972275,1,101.125,46.375,170.3682110920141
