Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Longitude,Latitude,Angle
start,Foraging,2016-06-15 13:41:00.754,0.4,0.0,0,1,1,0,0.6400338750000001,1,52.125,65.8125,0.0
zoom,Navigation,2016-06-15 13:41:39.402,0.4,38.648,0,1,1,1,0.3800685,1,57.0625,30.9375,0.0
zoom,Navigation,2016-06-15 13:41:40.210,0.5,0.808,0,1,1,2,0.338582375,1,36.5,27.0625,0.0
pan,Sensemaking,2016-06-15 13:41:41.559,0.4,1.349,0,1,1,2,0.5434141875,1,87.75,39.3125,352.46114496156497
pan,Sensemaking,2016-06-15 13:41:42.573,0.5,1.014,0,1,1,2,0.6416953125,1,126.75,45.875,3.8274386852116655
pan,Sensemaking,2016-06-15 13:41:44.767,0.5714285714285714,2.194,0,1,1,2,0.649498,1,117.0,44.5,12.786558738491005
zoom,Sensemaking,2016-06-15 13:41:45.387,0.25,0.62,0,1,1,3,0.473281625,1,61.3125,37.875,0.0
zoom,Sensemaking,2016-06-15 13:41:46.882,0.3333333333333333,1.495,0,1,1,2,0.6217085,1,92.875,46.25,0.0
pan,Sensemaking,2016-06-15 13:41:48.543,0.5,1.661,0,1,1,2,0.6327995,1,89.0,44.5,358.8350165290701
pan,Sensemaking,2016-06-15 13:42:00.656,0.5454545454545454,12.113,0,1,1,2,0.6327995,1,89.0,44.5,281.0919329136156
pan,Sensemaking,2016-06-15 13:42:02.273,0.5833333333333334,1.617,0,1,1,2,0.65440125,1,99.375,46.375,346.56329421777775
pan,Sensemaking,2016-06-15 13:42:05.108,0.6153846153846154,2.835,0,1,1,2,0.6324280625,1,105.0,46.375,276.6188104448768
pan,Sensemaking,2016-06-15 13:42:09.253,0.6428571428571429,4.145,0,1,1,2,0.6480446875,1,97.5625,45.375,276.3105650339012
pan,Sensemaking,2016-06-15 13:42:13.134,0.6666666666666666,3.881,0,1,1,2,0.638858375,1,100.125,46.0625,250.0797809036038
pan,Sensemaking,2016-06-15 13:42:16.876,0.6875,3.742,0,1,1,2,0.6533806875,1,102.5,46.125,257.5455162923705
pan,Sensemaking,2016-06-15 13:42:19.475,0.7058823529411765,2.599,0,1,1,2,0.6480446875,1,97.5625,45.375,34.45570361819426
pan,Sensemaking,2016-06-15 13:42:21.844,0.7222222222222222,2.369,0,1,1,2,0.6533806875,1,102.5,46.125,242.7102656637461
pan,Sensemaking,2016-06-15 13:42:25.951,0.7368421052631579,4.107,0,1,1,2,0.6373518749999999,1,95.25,44.9375,262.9803378538602
pan,Sensemaking,2016-06-15 13:42:29.293,0.75,3.342,0,1,1,2,0.6537195,1,89.0625,46.5,260.71140268217454
pan,Sensemaking,2016-06-15 13:42:33.520,0.7619047619047619,4.227,0,1,1,2,0.6544165625,1,99.6875,46.9375,258.777536608964
pan,Sensemaking,2016-06-15 13:42:36.965,0.7727272727272727,3.445,0,1,1,2,0.66972275,1,101.125,46.375,244.36175617371487
pan,Sensemaking,2016-06-15 13:42:40.215,0.782608695652174,3.25,0,1,1,2,0.663892375,1,102.5625,46.25,260.5746465100775
pan,Sensemaking,2016-06-15 13:42:43.589,0.7916666666666666,3.374,0,1,1,2,0.6310904374999999,1,88.1875,47.125,285.4713602977142
pan,Sensemaking,2016-06-15 13:42:47.111,0.8,3.522,0,1,1,2,0.657051625,1,103.0625,46.6875,267.07881029069097
pan,Sensemaking,2016-06-15 13:42:55.208,0.8076923076923077,8.097,0,1,1,2,0.663892375,1,102.5625,46.25,12.8824171864835
pan,Sensemaking,2016-06-15 13:42:56.559,0.8148148148148148,1.351,0,1,1,2,0.66972275,1,101.125,46.375,12.35292007904049
pan,Sensemaking,2016-06-15 13:42:58.085,0.8214285714285714,1.526,0,1,1,2,0.6544165625,1,99.6875,46.9375,9.797269824184358
pan,Sensemaking,2016-06-15 13:42:59.685,0.8275862068965517,1.6,0,1,1,2,0.6537195,1,89.0625,46.5,12.950890146717398
pan,Sensemaking,2016-06-15 13:43:01.252,0.8333333333333334,1.567,0,1,1,2,0.6373518749999999,1,95.25,44.9375,14.553272830655922
pan,Sensemaking,2016-06-15 13:43:02.794,0.8387096774193549,1.542,0,1,1,2,0.6533806875,1,102.5,46.125,12.315376344029737
pan,Sensemaking,2016-06-15 13:43:04.517,0.84375,1.723,0,1,1,2,0.638858375,1,100.125,46.0625,17.61834416318334
pan,Sensemaking,2016-06-15 13:43:06.060,0.8484848484848485,1.543,0,1,1,2,0.6480446875,1,97.5625,45.375,13.253158493814057
pan,Sensemaking,2016-06-15 13:43:07.725,0.8529411764705882,1.665,0,1,1,2,0.6324280625,1,105.0,46.375,12.46399834962889
pan,Sensemaking,2016-06-15 13:43:09.305,0.8571428571428571,1.58,0,1,1,2,0.65440125,1,99.375,46.375,17.421976424737764
pan,Sensemaking,2016-06-15 13:43:11.015,0.8611111111111112,1.71,0,1,1,2,0.6442717499999999,1,94.875,45.0625,19.323212244409348
pan,Sensemaking,2016-06-15 13:43:12.653,0.8648648648648649,1.638,0,1,1,2,0.61133975,1,71.5,45.9375,28.803904352129166
radioClick,Answering,2016-06-15 13:43:44.004,0.4,31.351,0,1,1,2,0.6350065,1,58.0,45.0,0.0
pan,Sensemaking,2016-06-15 13:43:54.902,0.868421052631579,10.898,0,1,2,2,0.65440125,1,99.375,46.375,275.95886736684184
pan,Sensemaking,2016-06-15 13:43:57.125,0.8717948717948718,2.223,0,1,2,2,0.6324280625,1,105.0,46.375,269.4729499197022
pan,Sensemaking,2016-06-15 13:43:58.949,0.875,1.824,0,1,2,2,0.6480446875,1,97.5625,45.375,273.34235956299057
pan,Sensemaking,2016-06-15 13:44:00.813,0.8780487804878049,1.864,0,1,2,2,0.6433225,1,87.5,44.5,268.52039808665285
pan,Sensemaking,2016-06-15 13:44:02.428,0.8809523809523809,1.615,0,1,2,2,0.638858375,1,100.125,46.0625,330.9724443521102
pan,Sensemaking,2016-06-15 13:44:04.237,0.8837209302325582,1.809,0,1,2,2,0.6533806875,1,102.5,46.125,269.79117071944165
pan,Sensemaking,2016-06-15 13:44:06.053,0.8863636363636364,1.816,0,1,2,2,0.6373518749999999,1,95.25,44.9375,276.16252503688315
pan,Sensemaking,2016-06-15 13:44:08.244,0.8888888888888888,2.191,0,1,2,2,0.6537195,1,89.0625,46.5,256.93726290370535
pan,Sensemaking,2016-06-15 13:44:12.500,0.8913043478260869,4.256,0,1,2,2,0.6544165625,1,99.6875,46.9375,282.717876590214
pan,Sensemaking,2016-06-15 13:44:13.927,0.8936170212765957,1.427,0,1,2,2,0.6578195,1,89.5,44.5,265.78210641518956
pan,Sensemaking,2016-06-15 13:44:15.069,0.8958333333333334,1.142,0,1,2,2,0.66972275,1,101.125,46.375,306.42835702749113
pan,Sensemaking,2016-06-15 13:44:16.709,0.8979591836734694,1.64,0,1,2,2,0.663892375,1,102.5625,46.25,247.991098300789
pan,Sensemaking,2016-06-15 13:44:18.548,0.9,1.839,0,1,2,2,0.6310904374999999,1,88.1875,47.125,255.49846146202924
pan,Sensemaking,2016-06-15 13:44:20.324,0.9019607843137255,1.776,0,1,2,2,0.657051625,1,103.0625,46.6875,246.34144200143155
zoom,Sensemaking,2016-06-15 13:44:35.573,0.07692307692307693,15.249,0,1,2,3,0.6265856875,1,96.5625,47.0,0.0
pan,Sensemaking,2016-06-15 13:44:38.223,0.8867924528301887,2.65,0,1,2,3,0.0,1,0.0,0.0,358.5753051136057
pan,Sensemaking,2016-06-15 13:44:41.825,0.8888888888888888,3.602,0,1,2,3,0.504603,1,78.125,37.6875,17.202246574693454
pan,Sensemaking,2016-06-15 13:44:43.093,0.8909090909090909,1.268,0,1,2,3,0.5016470000000001,1,81.1875,35.5625,22.817238795483796
pan,Sensemaking,2016-06-15 13:44:47.260,0.8928571428571429,4.167,0,1,2,3,0.3858265625,1,61.5625,29.375,17.138355346381207
pan,Sensemaking,2016-06-15 13:44:49.644,0.8947368421052632,2.384,0,1,2,3,0.4557815625,1,77.0,34.0,23.425324952744287
