Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Longitude,Latitude,Angle
start,Foraging,2016-06-14 17:20:55.861,0.4,0.0,0,1,1,0,0.6400338750000001,1,52.125,65.8125,0.0
pan,Foraging,2016-06-14 17:22:12.009,0.3333333333333333,76.148,0,1,1,0,0.6354235,1,46.5,68.5,5.376729982888459
zoom,Navigation,2016-06-14 17:22:13.520,0.4,1.511,0,1,1,1,0.66289525,1,100.625,45.25,0.0
zoom,Navigation,2016-06-14 17:22:13.992,0.5,0.472,0,1,1,2,0.6416953125,1,126.75,45.875,0.0
zoom,Navigation,2016-06-14 17:22:14.392,0.5714285714285714,0.4,0,1,1,3,0.4705743125,1,82.8125,27.3125,0.0
zoom,Navigation,2016-06-14 17:22:14.768,0.625,0.376,0,1,1,4,0.0,1,0.0,0.0,0.0
zoom,Navigation,2016-06-14 17:22:16.136,0.6666666666666666,1.368,0,1,1,3,0.4705743125,1,82.8125,27.3125,0.0
pan,Sensemaking,2016-06-14 17:22:17.100,0.4,0.964,0,1,1,3,0.492162125,1,74.1875,33.375,352.3509203497115
pan,Sensemaking,2016-06-14 17:22:17.928,0.5,0.828,0,1,1,3,0.6723005,1,103.5,44.5,3.0366580983813143
zoom,Sensemaking,2016-06-14 17:22:19.143,0.2857142857142857,1.215,0,1,1,4,0.30279618750000004,1,53.25,21.9375,0.0
zoom,Navigation,2016-06-14 17:22:19.903,0.7,0.76,0,1,1,3,0.315590625,1,46.5,22.25,0.0
zoom,Navigation,2016-06-14 17:22:20.280,0.7272727272727273,0.377,0,1,1,2,0.6217085,1,92.875,46.25,0.0
pan,Sensemaking,2016-06-14 17:22:21.331,0.5,1.051,0,1,1,2,0.6327995,1,89.0,44.5,7.822671405054588
pan,Sensemaking,2016-06-14 17:22:21.989,0.5555555555555556,0.658,0,1,1,2,0.6327995,1,89.0,44.5,7.200216905742176
pan,Sensemaking,2016-06-14 17:22:24.183,0.6,2.194,0,1,1,2,0.6327995,1,89.0,44.5,1.0608009044064588
pan,Sensemaking,2016-06-14 17:22:30.314,0.6363636363636364,6.131,0,1,1,2,0.6327995,1,89.0,44.5,282.050708539207
pan,Sensemaking,2016-06-14 17:22:31.320,0.6666666666666666,1.006,0,1,1,2,0.65440125,1,99.375,46.375,325.54207653761347
pan,Sensemaking,2016-06-14 17:22:32.829,0.6923076923076923,1.509,0,1,1,2,0.6507815,1,89.5,44.5,335.5296535161541
pan,Sensemaking,2016-06-14 17:22:33.691,0.7142857142857143,0.862,0,1,1,2,0.6324280625,1,105.0,46.375,341.8385072152224
