Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Longitude,Latitude,Angle
start,Foraging,2016-06-09 15:32:45.384,0.4,0.0,0,1,1,0,0.6400338750000001,1,52.125,65.8125,0.0
pan,Foraging,2016-06-09 15:33:51.981,0.3333333333333333,66.597,0,1,1,0,0.6354235,1,46.5,68.5,357.1777164304124
pan,Answering,2016-06-09 15:33:53.002,0.4,1.021,0,1,1,0,0.6354235,1,46.5,68.5,0.0
zoom,Navigation,2016-06-09 15:33:53.927,0.4,0.925,0,1,1,1,0.3800685,1,57.0625,30.9375,0.0
zoom,Navigation,2016-06-09 15:33:54.494,0.5,0.567,0,1,1,2,0.338582375,1,36.5,27.0625,0.0
pan,Navigation,2016-06-09 15:33:55.746,0.2857142857142857,1.252,0,1,1,2,0.6336219375,1,108.875,45.9375,20.89278474189222
pan,Navigation,2016-06-09 15:33:57.337,0.375,1.591,0,1,1,2,0.6327995,1,89.0,44.5,10.753169420514787
zoom,Navigation,2016-06-09 15:33:59.911,0.4444444444444444,2.574,0,1,1,3,0.473281625,1,61.3125,37.875,0.0
pan,Sensemaking,2016-06-09 15:34:01.978,0.4,2.067,0,1,1,3,0.6377185,1,45.0,44.5,2.7575347029909207
zoom,Sensemaking,2016-06-09 15:34:02.503,0.3333333333333333,0.525,0,1,1,2,0.6217085,1,92.875,46.25,0.0
pan,Sensemaking,2016-06-09 15:34:08.674,0.42857142857142855,6.171,0,1,1,2,0.6327995,1,89.0,44.5,2.38462909039215
pan,Sensemaking,2016-06-09 15:34:13.155,0.5,4.481,0,1,1,2,0.6327995,1,89.0,44.5,332.9565158422008
pan,Sensemaking,2016-06-09 15:34:14.000,0.5555555555555556,0.845,0,1,1,2,0.65440125,1,99.375,46.375,342.00489917567944
pan,Sensemaking,2016-06-09 15:34:15.155,0.6,1.155,0,1,1,2,0.6507815,1,89.5,44.5,320.9862166813511
pan,Sensemaking,2016-06-09 15:34:16.291,0.6363636363636364,1.136,0,1,1,2,0.6324280625,1,105.0,46.375,341.2304305518363
pan,Sensemaking,2016-06-09 15:34:17.395,0.6666666666666666,1.104,0,1,1,2,0.6326205,1,89.5,44.5,340.5968682397429
pan,Sensemaking,2016-06-09 15:34:18.196,0.6923076923076923,0.801,0,1,1,2,0.6480446875,1,97.5625,45.375,298.8037305268395
pan,Sensemaking,2016-06-09 15:34:19.349,0.7142857142857143,1.153,0,1,1,2,0.638858375,1,100.125,46.0625,327.45082753619334
pan,Sensemaking,2016-06-09 15:34:20.983,0.7333333333333333,1.634,0,1,1,2,0.6533806875,1,102.5,46.125,278.6105264961136
pan,Sensemaking,2016-06-09 15:34:23.019,0.75,2.036,0,1,1,2,0.6553595,1,89.5,44.5,282.7449139118502
pan,Sensemaking,2016-06-09 15:34:24.425,0.7647058823529411,1.406,0,1,1,2,0.6373518749999999,1,95.25,44.9375,328.51994389754606
pan,Sensemaking,2016-06-09 15:34:25.738,0.7777777777777778,1.313,0,1,1,2,0.6537195,1,89.0625,46.5,270.0552362391323
pan,Sensemaking,2016-06-09 15:34:27.116,0.7894736842105263,1.378,0,1,1,2,0.6544165625,1,99.6875,46.9375,257.65686174636903
pan,Sensemaking,2016-06-09 15:34:29.035,0.8,1.919,0,1,1,2,0.66972275,1,101.125,46.375,287.1480578990834
pan,Sensemaking,2016-06-09 15:34:34.453,0.8095238095238095,5.418,0,1,1,2,0.669296,1,89.5,44.5,265.6177312847155
pan,Sensemaking,2016-06-09 15:34:35.525,0.8181818181818182,1.072,0,1,1,2,0.663892375,1,102.5625,46.25,322.94347181059044
pan,Sensemaking,2016-06-09 15:34:37.367,0.8260869565217391,1.842,0,1,1,2,0.6310904374999999,1,88.1875,47.125,280.52269367286794
pan,Sensemaking,2016-06-09 15:34:40.540,0.8333333333333334,3.173,0,1,1,2,0.657051625,1,103.0625,46.6875,276.6778700158089
pan,Sensemaking,2016-06-09 15:34:42.986,0.84,2.446,0,1,1,2,0.659735,1,89.5,44.5,264.73790991886926
pan,Sensemaking,2016-06-09 15:34:44.057,0.8461538461538461,1.071,0,1,1,2,0.6310904374999999,1,88.1875,47.125,35.154499307111145
pan,Sensemaking,2016-06-09 15:34:44.697,0.8518518518518519,0.64,0,1,1,2,0.663892375,1,102.5625,46.25,26.666393935422377
pan,Sensemaking,2016-06-09 15:34:46.853,0.8571428571428571,2.156,0,1,1,2,0.6571875,1,89.5,44.5,35.212796335343896
pan,Sensemaking,2016-06-09 15:34:48.289,0.8620689655172413,1.436,0,1,1,2,0.66972275,1,101.125,46.375,34.49626037987829
pan,Sensemaking,2016-06-09 15:34:49.858,0.8666666666666667,1.569,0,1,1,2,0.6544165625,1,99.6875,46.9375,45.343521096107835
pan,Sensemaking,2016-06-09 15:34:51.197,0.8709677419354839,1.339,0,1,1,2,0.663892375,1,102.5625,46.25,309.99633685321487
zoom,Navigation,2016-06-09 15:34:59.250,0.5,8.053,0,1,1,3,0.328434,1,55.8125,26.25,0.0
zoom,Navigation,2016-06-09 15:35:00.511,0.5454545454545454,1.261,0,1,1,4,0.661229625,1,114.5,51.1875,0.0
pan,Sensemaking,2016-06-09 15:35:04.583,0.875,4.072,0,1,1,4,0.6644369999999999,1,89.5,44.5,352.92800628962976
zoom,Sensemaking,2016-06-09 15:35:05.354,0.09090909090909091,0.771,0,1,1,3,0.328434,1,55.8125,26.25,0.0
pan,Sensemaking,2016-06-09 15:35:07.555,0.8529411764705882,2.201,0,1,1,3,0.507941,1,72.75,33.375,356.9229704957772
zoom,Sensemaking,2016-06-09 15:35:08.255,0.11428571428571428,0.7,0,1,1,4,0.661229625,1,114.5,51.1875,0.0
pan,Sensemaking,2016-06-09 15:35:13.240,0.8333333333333334,4.985,10,1,1,4,0.6644369999999999,1,89.5,44.5,5.7619486633305765
zoom,Navigation,2016-06-09 15:35:40.009,0.5833333333333334,26.769,0,2,1,3,0.328434,1,55.8125,26.25,0.0
pan,Navigation,2016-06-09 15:35:41.938,0.3076923076923077,1.929,0,2,2,3,0.507941,1,72.75,33.375,355.1505201710401
pan,Navigation,2016-06-09 15:35:44.749,0.35714285714285715,2.811,0,2,2,3,0.6382621875,1,89.4375,44.5,2.6151086409902224
zoom,Navigation,2016-06-09 15:35:45.521,0.5333333333333333,0.772,0,2,2,2,0.670373375,1,114.1875,48.125,0.0
pan,Foraging,2016-06-09 15:35:47.057,0.42857142857142855,1.536,0,2,2,2,0.6571875,1,89.5,44.5,1.8812039240387728
radioClick,Answering,2016-06-09 15:36:04.950,0.3333333333333333,17.893,0,2,2,2,0.6571875,1,89.5,44.5,0.0
pan,Foraging,2016-06-09 15:36:15.394,0.5,10.444,0,2,2,2,0.6544165625,1,99.6875,46.9375,25.918555587954444
pan,Foraging,2016-06-09 15:36:16.191,0.5555555555555556,0.797,0,2,2,2,0.6537195,1,89.0625,46.5,18.702691393504537
pan,Foraging,2016-06-09 15:36:16.957,0.6,0.766,0,2,2,2,0.6373518749999999,1,95.25,44.9375,34.65295652652026
pan,Foraging,2016-06-09 15:36:17.876,0.6363636363636364,0.919,0,2,2,2,0.6533806875,1,102.5,46.125,29.269458816428312
pan,Foraging,2016-06-09 15:36:33.947,0.6666666666666666,16.071,0,2,2,2,0.6537195,1,89.0625,46.5,343.0032208135866
pan,Foraging,2016-06-09 15:36:34.495,0.6923076923076923,0.548,0,2,2,2,0.6544165625,1,99.6875,46.9375,252.11583480016003
pan,Foraging,2016-06-09 15:36:35.165,0.7142857142857143,0.67,0,2,2,2,0.6578195,1,89.5,44.5,304.55315684670086
pan,Foraging,2016-06-09 15:36:35.844,0.7333333333333333,0.679,0,2,2,2,0.66972275,1,101.125,46.375,331.039011227325
pan,Foraging,2016-06-09 15:36:39.357,0.75,3.513,0,2,2,2,0.663892375,1,102.5625,46.25,314.2849767604499
pan,Foraging,2016-06-09 15:36:40.461,0.7647058823529411,1.104,0,2,2,2,0.6310904374999999,1,88.1875,47.125,241.3034230759394
pan,Foraging,2016-06-09 15:36:41.244,0.7777777777777778,0.783,0,2,2,2,0.66972275,1,101.125,46.375,23.954378783175443
radioClick,Answering,2016-06-09 15:36:44.605,0.42857142857142855,3.361,0,2,2,2,0.669296,1,89.5,44.5,0.0
zoom,Navigation,2016-06-09 15:36:54.335,0.5625,9.73,10,2,2,3,0.6397829375,1,96.1875,49.5625,0.0
zoom,Navigation,2016-06-09 15:36:55.726,0.5882352941176471,1.391,10,2,2,4,0.661229625,1,114.5,51.1875,0.0
pan,Sensemaking,2016-06-09 15:37:00.706,0.8378378378378378,4.98,10,2,2,4,0.6644369999999999,1,89.5,44.5,1.6375451348450734
