Interaction,Value,Time
study begins,page loaded,1613597486992
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597488456
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597488473
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597488473
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597488822
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597489256
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597489272
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597489273
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1613597489306
opened window,bookmark popup,1613597489712
closed window,bookmark popup,1613597493527
opened window,bookmark popup,1613597494635
closed window,bookmark popup,1613597496006
clicked on a field,add Aircraft_Airline_Operator,1613597498237
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597498535
mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597498988
mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597499135
mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597499135
mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597499406
mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597499406
mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597499456
scroll down,,1613597501014
scroll down,,1613597501041
scroll up,,1613597501431
scroll up,,1613597501463
scroll down,,1613597501979
scroll down,,1613597502031
scroll up,,1613597502342
scroll up,,1613597502382
scroll down,,1613597504901
clicked on a field,remove undefined,1613597505560
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1613597505664
scroll up,,1613597505821
clicked on a field,remove Aircraft_Airline_Operator,1613597507177
clicked on a field,add Cost_Other,1613597508528
main chart changed because of clicking a field,mark:tick;encoding:Cost_Other-quantitative-x,1613597508628
clicked on a field,add Airport_Name,1613597511233
main chart changed because of clicking a field,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597511338
mouseover on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597513016
mouseout on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597513049
mouseover on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597513049
mouseout on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597513316
mouseover on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597513316
mouseout on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597513332
scroll down,,1613597513449
scroll down,,1613597513466
scroll down,,1613597513484
mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x,Flight_Date-nominal-row",1613597513500
scroll down,,1613597513500
mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x,Flight_Date-nominal-row",1613597513600
scroll down,,1613597513750
scroll down,,1613597513767
scroll down,,1613597513783
scroll down,,1613597513800
scroll down,,1613597514084
scroll down,,1613597514100
scroll down,,1613597514116
scroll down,,1613597514134
scroll down,,1613597514150
scroll up,,1613597514467
scroll up,,1613597514484
scroll up,,1613597514501
scroll up,,1613597514517
scroll up,,1613597514534
scroll up,,1613597514734
scroll up,,1613597514751
scroll up,,1613597514767
scroll up,,1613597514784
scroll up,,1613597514801
mouseover on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597515151
mouseout on the specified chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Other-quantitative-x",1613597515218
clicked on a field,remove Cost_Other,1613597515763
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597515867
clicked on a field,add Cost_Repair,1613597516520
main chart changed because of clicking a field,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x",1613597516614
scroll down,,1613597518488
scroll down,,1613597518504
scroll down,,1613597518522
scroll down,,1613597518538
scroll down,,1613597518821
scroll down,,1613597518838
scroll down,,1613597518855
scroll down,,1613597518871
scroll up,,1613597519051
scroll up,,1613597519067
scroll up,,1613597519079
scroll up,,1613597519089
scroll up,,1613597519105
scroll up,,1613597519121
scroll up,,1613597519138
scroll down,,1613597519641
scroll down,,1613597519672
scroll down,,1613597519689
scroll down,,1613597519706
scroll down,,1613597519948
scroll down,,1613597519959
scroll down,,1613597519974
scroll down,,1613597519989
scroll down,,1613597520007
scroll down,,1613597520023
scroll down,,1613597520273
scroll down,,1613597520290
scroll down,,1613597520306
mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597520680
mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597520713
mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597520713
mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597520730
clicked load more button,,1613597521097
mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597521330
mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597521381
mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597521381
mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-y,Cost_Repair-quantitative-x,Wildlife_Size-nominal-color",1613597521430
scroll down,,1613597521597
scroll down,,1613597521631
scroll down,,1613597521647
scroll down,,1613597521664
scroll down,,1613597521981
scroll down,,1613597522015
scroll down,,1613597522032
scroll down,,1613597522048
scroll down,,1613597522532
scroll down,,1613597522549
scroll down,,1613597522566
scroll down,,1613597522881
scroll down,,1613597522899
scroll down,,1613597522915
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523199
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523332
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523332
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523533
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523816
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523849
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1613597523849
