Interaction,Value,Time
study begins,page loaded,1614035777778
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1614035778413
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1614035782358
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1614035782358
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1614035782374
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1614035782374
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1614035782392
clicked on a field,add When_Phase_of_flight,1614035798035
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,When_Phase_of_flight-nominal-y",1614035798428
clicked on a field,remove When_Phase_of_flight,1614035805852
clicked on a field,add When_Phase_of_flight,1614035811211
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,When_Phase_of_flight-nominal-y",1614035811400
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-color,Flight_Date-nominal-row,When_Phase_of_flight-nominal-y",1614035832988
scroll down,,1614035833603
scroll down,,1614035833621
scroll down,,1614035833691
scroll down,,1614035833725
scroll down,,1614035833774
scroll down,,1614035833824
scroll down,,1614035833841
scroll down,,1614035833875
scroll down,,1614035833923
scroll down,,1614035833990
scroll down,,1614035834125
scroll down,,1614035834225
scroll down,,1614035834274
scroll down,,1614035834308
scroll down,,1614035834357
scroll down,,1614035834424
scroll down,,1614035834474
scroll down,,1614035834508
scroll down,,1614035834556
scroll down,,1614035834574
scroll down,,1614035834590
scroll down,,1614035834608
scroll down,,1614035834624
scroll down,,1614035834640
scroll down,,1614035834690
scroll down,,1614035834708
scroll down,,1614035834741
scroll down,,1614035834774
scroll down,,1614035835074
scroll down,,1614035835124
scroll down,,1614035835141
scroll down,,1614035835157
scroll down,,1614035835175
scroll down,,1614035835191
scroll down,,1614035835207
scroll down,,1614035835224
scroll down,,1614035835242
scroll down,,1614035835257
scroll down,,1614035835323
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-color,Flight_Date-nominal-row,When_Phase_of_flight-nominal-y",1614035836090
