User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1611590155370,1.0166666666666666,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p3
1,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1611590157180,1.0166666666666666,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p3
2,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1611590158229,1.0166666666666666,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p3
6,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1611590167525,1.0444444444444445,modify-1,"['Aircraft_Make_Model', 'None', 'None']","[1, 14, 14]",Foraging,p3
19,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Wildlife_Size-nominal-y",1611590344291,3.0444444444444447,modify-1,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging,p3
20,main chart changed because of clicking a field,"mark:tick;encoding:Cost_Repair-quantitative-x,Wildlife_Size-nominal-y",1611590346620,8.988888888888889,modify-1,"['Cost_Repair', 'None', 'Wildlife_Size']","[11, 14, 7]",Foraging,p3
21,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Size-nominal-y",1611590355323,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Foraging,p3
27,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Size-nominal-y",1611590356738,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Foraging,p3
33,added chart to bookmark,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Size-nominal-y",1611590358062,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Sensemaking,p3
34,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Size-nominal-y",1611590358481,12.822222222222225,modify-1,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Foraging,p3
40,mouseover a related chart,"mark:tick;encoding:Airport_Name-nominal-x,Cost_Repair-quantitative-y,When_Time_of_day-nominal-color",1611590359779,10.794444444444444,same,"['Airport_Name', 'Cost_Repair', 'When_Time_of_day']","[0, 11, 9]",Foraging,p3
41,mouseout a related chart,"mark:tick;encoding:Airport_Name-nominal-x,Cost_Repair-quantitative-y,When_Time_of_day-nominal-color",1611590360395,10.794444444444444,modify-1,"['Airport_Name', 'Cost_Repair', 'When_Time_of_day']","[0, 11, 9]",Foraging,p3
44,main chart changed because of clicking a field,"mark:bar;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y,Wildlife_Size-nominal-color",1611590364542,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Foraging,p3
45,mouseover on the specified chart,"mark:bar;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y,Wildlife_Size-nominal-color",1611590369115,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Sensemaking,p3
46,mouseout on the specified chart,"mark:bar;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y,Wildlife_Size-nominal-color",1611590369933,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Sensemaking,p3
47,added chart to bookmark,"mark:bar;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y,Wildlife_Size-nominal-color",1611590370627,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Sensemaking,p3
48,mouseover on the specified chart,"mark:bar;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y,Wildlife_Size-nominal-color",1611590373713,12.822222222222225,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Sensemaking,p3
50,mouseover on the specified chart,"mark:bar;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y,Wildlife_Size-nominal-color",1611590386823,12.822222222222225,modify-1,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Size']","[11, 9, 7]",Sensemaking,p3
54,main chart changed because of clicking a field,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-y",1611590389601,9.877777777777778,modify-1,"['Cost_Repair', 'None', 'When_Time_of_day']","[11, 14, 9]",Foraging,p3
55,main chart changed because of clicking a field,mark:tick;encoding:Cost_Repair-quantitative-x,1611590390521,6.044444444444444,modify-1,"['Cost_Repair', 'None', 'None']","[11, 14, 14]",Foraging,p3
56,main chart changed because of clicking a field,"mark:tick;encoding:Cost_Repair-quantitative-x,Wildlife_Species-nominal-y",1611590393683,9.016666666666666,modify-1,"['Cost_Repair', 'None', 'Wildlife_Species']","[11, 14, 8]",Foraging,p3
57,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590397317,12.85,modify-1,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
59,mouseover on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Wildlife_Species-nominal-y",1611590408698,9.016666666666666,same,"['Cost_Repair', 'None', 'Wildlife_Species']","[11, 14, 8]",Sensemaking,p3
62,scroll on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Wildlife_Species-nominal-y",1611590409275,9.016666666666666,same,"['Cost_Repair', 'None', 'Wildlife_Species']","[11, 14, 8]",Sensemaking,p3
63,mouseout on the specified chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Wildlife_Species-nominal-y",1611590409621,9.016666666666666,modify-1,"['Cost_Repair', 'None', 'Wildlife_Species']","[11, 14, 8]",Sensemaking,p3
66,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590410568,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
67,scroll on a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590411742,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
80,scroll on a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590412475,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
90,mouseout a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590413391,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
93,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590415907,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
96,mouseout a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590417440,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
98,mouseout a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590418113,12.85,same,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Foraging,p3
99,added chart to bookmark,"mark:tick;encoding:Cost_Repair-quantitative-x,When_Time_of_day-nominal-color,Wildlife_Species-nominal-y",1611590419089,12.85,modify-1,"['Cost_Repair', 'When_Time_of_day', 'Wildlife_Species']","[11, 9, 8]",Sensemaking,p3
100,mouseover a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Effect_Amount_of_damage-nominal-color,Wildlife_Species-nominal-y",1611590422266,9.988888888888887,same,"['Cost_Repair', 'Effect_Amount_of_damage', 'Wildlife_Species']","[11, 2, 8]",Foraging,p3
101,scroll on a related chart,"mark:tick;encoding:Cost_Repair-quantitative-x,Effect_Amount_of_damage-nominal-color,Wildlife_Species-nominal-y",1611590422719,9.988888888888887,same,"['Cost_Repair', 'Effect_Amount_of_damage', 'Wildlife_Species']","[11, 2, 8]",Foraging,p3
