User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1604531149154,1.0166666666666666,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p3
2,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y",1604531154508,2.0722222222222224,modify-1,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging,p3
8,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Origin_State-nominal-y",1604531156162,0.7944444444444444,same,"['None', 'None', 'Origin_State']","[14, 14, 5]",Foraging,p3
9,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Origin_State-nominal-y",1604531157242,0.7944444444444444,same,"['None', 'None', 'Origin_State']","[14, 14, 5]",Foraging,p3
22,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Origin_State-nominal-y",1604531157757,0.7944444444444444,same,"['None', 'None', 'Origin_State']","[14, 14, 5]",Foraging,p3
26,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Origin_State-nominal-y",1604531158110,0.7944444444444444,modify-1,"['None', 'None', 'Origin_State']","[14, 14, 5]",Foraging,p3
42,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Wildlife_Species-nominal-y",1604531173985,2.0722222222222224,same,"['None', 'None', 'Wildlife_Species']","[14, 14, 8]",Foraging,p3
45,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Wildlife_Species-nominal-y",1604531178500,2.0722222222222224,modify-1,"['None', 'None', 'Wildlife_Species']","[14, 14, 8]",Foraging,p3
49,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Wildlife_Size-nominal-y",1604531179362,2.0444444444444443,modify-1,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging,p3
51,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Airline_Operator-nominal-y",1604531180699,1.877777777777777,same,"['Aircraft_Airline_Operator', 'None', 'None']","[4, 14, 14]",Foraging,p3
