User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
1,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y",1602685567936,0.3202030051859403,same,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Sensemaking
3,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y",1602685579008,0.3202030051859403,same,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y",1602685584506,0.3202030051859403,modify-1,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging
15,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1602685585955,0.1261069988032445,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
16,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1602685588159,0.1261069988032445,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
24,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1602685589346,0.4234120827977483,same,"['Aircraft_Make_Model', 'None', 'None']","[1, 14, 14]",Foraging
32,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1602685593178,0.4234120827977483,same,"['Aircraft_Make_Model', 'None', 'None']","[1, 14, 14]",Foraging
33,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1602685594746,0.4234120827977483,modify-1,"['Aircraft_Make_Model', 'None', 'None']","[1, 14, 14]",Sensemaking
76,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y,Flight_Date-nominal-row,When_Time_of_day-nominal-color",1602685603054,0.4316785603475023,same,"['Aircraft_Make_Model', 'None', 'When_Time_of_day']","[1, 14, 9]",Foraging
108,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y,Flight_Date-nominal-row,When_Time_of_day-nominal-color",1602685605219,0.4316785603475023,modify-1,"['Aircraft_Make_Model', 'None', 'When_Time_of_day']","[1, 14, 9]",Foraging
179,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y,Effect_Amount_of_damage-nominal-color,Flight_Date-nominal-row",1602685622484,0.4999379460130313,modify-1,"['Aircraft_Make_Model', 'Flight_Date', 'None']","[1, 3, 14]",Foraging
198,mouseover a related chart,"mark:point;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y,When_Phase_of_flight-nominal-color,Wildlife_Size-nominal-shape",1602685625667,0.4292628872833651,modify-1,"['Aircraft_Make_Model', 'None', 'Wildlife_Size']","[1, 14, 7]",Foraging
205,mouseout a related chart,"mark:point;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y,Effect_Amount_of_damage-nominal-shape,When_Phase_of_flight-nominal-color",1602685626383,0.4422942245467843,same,"['Aircraft_Make_Model', 'None', 'When_Phase_of_flight']","[1, 14, 6]",Foraging
340,mouseover a related chart,"mark:point;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y,Effect_Amount_of_damage-nominal-shape,When_Phase_of_flight-nominal-color",1602685667470,0.4422942245467843,modify-2,"['Aircraft_Make_Model', 'None', 'When_Phase_of_flight']","[1, 14, 6]",Foraging
346,mouseover a related chart,"mark:bar;encoding:Aircraft_Make_Model-nominal-y,Cost_Other-quantitative-x,When_Time_of_day-nominal-color",1602685669576,0.4449980054075617,modify-1,"['Aircraft_Make_Model', 'Cost_Other', 'When_Time_of_day']","[1, 10, 9]",Foraging
476,mouseover a related chart,"mark:bar;encoding:Aircraft_Make_Model-nominal-y,Cost_Total-quantitative-x,When_Time_of_day-nominal-color",1602685702542,0.4348477461105448,modify-2,"['Aircraft_Make_Model', 'Cost_Total', 'When_Time_of_day']","[1, 12, 9]",Foraging
483,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Aircraft_Make_Model-nominal-y,Effect_Amount_of_damage-nominal-x",1602685706224,0.6436150879836886,modify-2,"['Aircraft_Make_Model', 'Effect_Amount_of_damage', 'None']","[1, 2, 14]",Foraging
486,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y",1602685709713,0.3202030051859403,modify-1,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging
510,mouseover a related chart,"mark:point;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y,Flight_Date-nominal-row,Wildlife_Size-nominal-shape",1602685734485,0.3260538096715571,same,"['Effect_Amount_of_damage', 'None', 'Wildlife_Size']","[2, 14, 7]",Foraging
512,mouseout a related chart,"mark:point;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y,Flight_Date-nominal-row,Wildlife_Size-nominal-shape",1602685743032,0.3260538096715571,modify-1,"['Effect_Amount_of_damage', 'None', 'Wildlife_Size']","[2, 14, 7]",Foraging
514,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y,Flight_Date-nominal-row,When_Phase_of_flight-nominal-color",1602685743803,0.3390851469349763,modify-1,"['Effect_Amount_of_damage', 'None', 'When_Phase_of_flight']","[2, 14, 6]",Foraging
518,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Effect_Amount_of_damage-nominal-y",1602685750203,0.3202030051859403,modify-1,"['Effect_Amount_of_damage', 'None', 'None']","[2, 14, 14]",Foraging
521,main chart changed because of clicking a field,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Speed_IAS_in_knots-quantitative-x",1602685761676,0.5358406099020434,modify-2,"['Effect_Amount_of_damage', 'None', 'Speed_IAS_in_knots']","[2, 14, 13]",Foraging
558,mouseover a related chart,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-color",1602685781061,0.5547227516510793,same,"['Effect_Amount_of_damage', 'Speed_IAS_in_knots', 'When_Phase_of_flight']","[2, 13, 6]",Foraging
575,mouseout a related chart,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-color",1602685781660,0.5547227516510793,same,"['Effect_Amount_of_damage', 'Speed_IAS_in_knots', 'When_Phase_of_flight']","[2, 13, 6]",Foraging
606,mouseover a related chart,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Speed_IAS_in_knots-quantitative-x,When_Phase_of_flight-nominal-color",1602685783493,0.5547227516510793,modify-2,"['Effect_Amount_of_damage', 'Speed_IAS_in_knots', 'When_Phase_of_flight']","[2, 13, 6]",Foraging
627,mouseover on the specified chart,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Speed_IAS_in_knots-quantitative-x",1602685786092,0.5358406099020434,modify-3,"['Effect_Amount_of_damage', 'None', 'Speed_IAS_in_knots']","[2, 14, 13]",Sensemaking
634,main chart changed because of clicking a field,"mark:tick;encoding:Aircraft_Make_Model-nominal-y,Effect_Amount_of_damage-nominal-color,Speed_IAS_in_knots-quantitative-x",1602685789463,0.8592526926997917,same,"['Aircraft_Make_Model', 'Effect_Amount_of_damage', 'Speed_IAS_in_knots']","[1, 2, 13]",Foraging
635,mouseover on the specified chart,"mark:tick;encoding:Aircraft_Make_Model-nominal-y,Effect_Amount_of_damage-nominal-color,Speed_IAS_in_knots-quantitative-x",1602685790797,0.8592526926997917,modify-2,"['Aircraft_Make_Model', 'Effect_Amount_of_damage', 'Speed_IAS_in_knots']","[1, 2, 13]",Sensemaking
672,mouseover a related chart,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Flight_Date-nominal-row,Speed_IAS_in_knots-quantitative-x",1602685797074,0.6123664731173264,same,"['Effect_Amount_of_damage', 'Flight_Date', 'Speed_IAS_in_knots']","[2, 3, 13]",Foraging
706,mouseout a related chart,"mark:tick;encoding:Effect_Amount_of_damage-nominal-y,Flight_Date-nominal-row,Speed_IAS_in_knots-quantitative-x",1602685798424,0.6123664731173264,modify-2,"['Effect_Amount_of_damage', 'Flight_Date', 'Speed_IAS_in_knots']","[2, 3, 13]",Foraging
