User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Aircraft_Make_Model-nominal-y",1599510753070,1.905555555555556,modify-1,"['Aircraft_Make_Model', 'None', 'None']","[1, 14, 14]",Foraging
6,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1599510776027,1.0722222222222222,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
9,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1599510779462,1.0722222222222222,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
17,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1599510779947,1.0722222222222222,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
51,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1599510781128,1.0722222222222222,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
56,clicked on a field,add Airport_Name,1599510787246,1.0722222222222222,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
57,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1599510787347,1.0722222222222222,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
58,clicked on a field,add Wildlife_Size,1599510789338,4.96111111111111,modify-1,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging
59,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510789735,5.933333333333333,modify-1,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Foraging
60,clicked on a field,remove Wildlife_Size,1599510791474,4.96111111111111,modify-1,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging
61,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1599510791571,1.0722222222222222,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging
62,clicked on a field,add Wildlife_Size,1599510796176,4.96111111111111,modify-1,"['None', 'None', 'Wildlife_Size']","[14, 14, 7]",Foraging
63,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510796403,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Foraging
64,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510798837,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
65,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510804235,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
101,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510805602,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
122,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510807230,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
152,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510809121,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
181,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510810325,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
186,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510810930,5.933333333333333,same,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
189,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Wildlife_Size-nominal-x",1599510812488,5.933333333333333,modify-1,"['Airport_Name', 'None', 'Wildlife_Size']","[0, 14, 7]",Sensemaking
196,scroll on a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Cost_Repair-quantitative-color<aggregate>mean,Wildlife_Size-nominal-x",1599510813306,6.572222222222222,same,"['Airport_Name', 'Cost_Repair', 'Wildlife_Size']","[0, 11, 7]",Foraging
223,mouseout a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Cost_Repair-quantitative-color<aggregate>mean,Wildlife_Size-nominal-x",1599510814305,6.572222222222222,same,"['Airport_Name', 'Cost_Repair', 'Wildlife_Size']","[0, 11, 7]",Foraging
232,scroll on a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Cost_Repair-quantitative-color<aggregate>mean,Wildlife_Size-nominal-x",1599510815516,6.572222222222222,same,"['Airport_Name', 'Cost_Repair', 'Wildlife_Size']","[0, 11, 7]",Foraging
253,mouseout a related chart,"mark:point;encoding:-quantitative-size<aggregate>count,Airport_Name-nominal-y,Cost_Repair-quantitative-color<aggregate>mean,Wildlife_Size-nominal-x",1599510815967,6.572222222222222,same,"['Airport_Name', 'Cost_Repair', 'Wildlife_Size']","[0, 11, 7]",Foraging
