id,attribute1
1,"[5, 12, 15]"
2,"[2, 8, 12]"
3,"[6, 8, 13]"
4,"[13, 13, 13]"
5,"[4, 8, 14]"
6,"[8, 8, 15]"
7,"[0, 3, 3]"
8,"[1, 7, 13]"
9,"[0, 11, 16]"
10,"[3, 7, 15]"
11,"[0, 3, 12]"
12,"[1, 10, 15]"
13,"[5, 5, 12]"
14,"[2, 4, 5]"
15,"[9, 16, 16]"
16,"[2, 4, 14]"
17,"[6, 7, 8]"
18,"[0, 6, 13]"
19,"[1, 6, 8]"
20,"[3, 14, 14]"
21,"[5, 8, 13]"
22,"[7, 8, 15]"
23,"[4, 4, 12]"
24,"[7, 11, 11]"
25,"[3, 3, 4]"
26,"[4, 7, 8]"
27,"[1, 3, 11]"
28,"[2, 7, 15]"
29,"[3, 3, 13]"
30,"[6, 11, 14]"
31,"[0, 10, 10]"
32,"[8, 11, 16]"
33,"[0, 2, 6]"
34,"[0, 2, 15]"
35,"[6, 8, 8]"
36,"[7, 12, 12]"
37,"[4, 8, 9]"
38,"[8, 8, 10]"
39,"[2, 8, 16]"
40,"[9, 12, 14]"
41,"[1, 7, 8]"
42,"[2, 11, 12]"
43,"[3, 7, 10]"
44,"[0, 3, 7]"
45,"[14, 14, 14]"
46,"[1, 10, 10]"
47,"[6, 14, 15]"
48,"[5, 5, 7]"
49,"[3, 10, 12]"
50,"[1, 2, 15]"
51,"[1, 13, 15]"
52,"[2, 4, 9]"
53,"[0, 9, 14]"
54,"[5, 7, 16]"
55,"[2, 3, 13]"
56,"[6, 15, 16]"
57,"[4, 14, 15]"
58,"[6, 7, 12]"
59,"[0, 6, 8]"
60,"[1, 14, 16]"
61,"[1, 6, 12]"
62,"[5, 8, 8]"
63,"[10, 12, 13]"
64,"[7, 8, 10]"
65,"[12, 12, 15]"
66,"[4, 4, 7]"
67,"[5, 11, 13]"
68,"[1, 3, 6]"
69,"[2, 7, 10]"
70,"[4, 4, 16]"
71,"[3, 3, 8]"
72,"[4, 7, 12]"
73,"[1, 3, 15]"
74,"[4, 15, 16]"
75,"[7, 11, 15]"
76,"[8, 11, 11]"
77,"[0, 10, 14]"
78,"[0, 2, 10]"
79,"[12, 13, 16]"
80,"[5, 12, 14]"
81,"[2, 8, 11]"
82,"[0, 13, 16]"
83,"[7, 12, 16]"
84,"[4, 8, 13]"
85,"[2, 11, 16]"
86,"[6, 6, 6]"
87,"[1, 10, 14]"
88,"[1, 2, 10]"
89,"[3, 10, 16]"
90,"[6, 6, 15]"
91,"[0, 9, 9]"
92,"[5, 15, 15]"
93,"[5, 7, 11]"
94,"[2, 3, 8]"
95,"[4, 11, 14]"
96,"[7, 7, 13]"
97,"[6, 7, 7]"
98,"[6, 7, 16]"
99,"[0, 6, 12]"
100,"[1, 6, 7]"
101,"[11, 13, 16]"
102,"[1, 6, 16]"
103,"[5, 8, 12]"
104,"[7, 8, 14]"
105,"[4, 4, 11]"
106,"[3, 3, 3]"
107,"[4, 7, 7]"
108,"[2, 7, 14]"
109,"[3, 3, 12]"
110,"[4, 7, 16]"
111,"[0, 2, 5]"
112,"[0, 2, 14]"
113,"[3, 6, 14]"
114,"[3, 9, 10]"
115,"[12, 16, 16]"
116,"[0, 5, 7]"
117,"[9, 12, 13]"
118,"[1, 1, 13]"
119,"[0, 5, 16]"
120,"[0, 16, 16]"
121,"[10, 11, 12]"
122,"[9, 15, 15]"
123,"[2, 10, 15]"
124,"[13, 15, 16]"
125,"[6, 14, 14]"
126,"[1, 2, 5]"
127,"[3, 10, 11]"
128,"[6, 6, 10]"
129,"[8, 14, 16]"
130,"[1, 2, 14]"
131,"[1, 13, 14]"
132,"[0, 9, 13]"
133,"[2, 3, 3]"
134,"[7, 7, 8]"
135,"[5, 7, 15]"
136,"[2, 3, 12]"
137,"[4, 14, 14]"
138,"[6, 7, 11]"
139,"[0, 6, 7]"
140,"[0, 6, 16]"
141,"[1, 6, 11]"
142,"[10, 12, 12]"
143,"[11, 16, 16]"
144,"[7, 8, 9]"
145,"[12, 12, 14]"
146,"[4, 4, 6]"
147,"[1, 5, 15]"
148,"[5, 11, 12]"
149,"[2, 7, 9]"
150,"[0, 1, 14]"
151,"[0, 12, 14]"
152,"[4, 7, 11]"
153,"[4, 15, 15]"
154,"[7, 11, 14]"
155,"[12, 15, 16]"
156,"[5, 14, 14]"
157,"[6, 10, 12]"
158,"[7, 14, 16]"
159,"[3, 6, 9]"
160,"[8, 10, 14]"
161,"[1, 9, 12]"
162,"[0, 13, 15]"
163,"[1, 1, 8]"
164,"[3, 9, 14]"
165,"[0, 5, 11]"
166,"[9, 11, 12]"
167,"[2, 10, 10]"
168,"[5, 6, 9]"
169,"[10, 11, 16]"
170,"[2, 2, 6]"
171,"[4, 10, 12]"
172,"[1, 10, 13]"
173,"[2, 2, 15]"
174,"[1, 2, 9]"
175,"[3, 10, 15]"
176,"[6, 6, 14]"
177,"[11, 12, 14]"
178,"[5, 7, 10]"
179,"[7, 15, 16]"
180,"[2, 3, 7]"
181,"[4, 11, 13]"
182,"[7, 7, 12]"
183,"[2, 3, 16]"
184,"[2, 14, 16]"
185,"[11, 13, 15]"
186,"[1, 5, 10]"
187,"[3, 13, 16]"
188,"[6, 9, 15]"
189,"[3, 5, 12]"
190,"[0, 1, 9]"
191,"[2, 6, 8]"
192,"[4, 6, 10]"
193,"[13, 14, 14]"
194,"[6, 10, 16]"
195,"[3, 6, 13]"
196,"[1, 1, 3]"
197,"[3, 9, 9]"
198,"[0, 5, 6]"
199,"[1, 9, 16]"
200,"[1, 1, 12]"
201,"[0, 5, 15]"
202,"[9, 11, 16]"
203,"[10, 11, 11]"
204,"[2, 10, 14]"
205,"[5, 6, 13]"
206,"[13, 15, 15]"
207,"[2, 2, 10]"
208,"[4, 10, 16]"
209,"[1, 2, 4]"
210,"[3, 10, 10]"
211,"[6, 6, 9]"
212,"[8, 14, 15]"
213,"[1, 13, 13]"
214,"[0, 9, 12]"
215,"[7, 7, 7]"
216,"[5, 7, 14]"
217,"[2, 3, 11]"
218,"[0, 8, 16]"
219,"[7, 7, 16]"
220,"[5, 10, 16]"
221,"[1, 5, 5]"
222,"[6, 9, 10]"
223,"[3, 5, 7]"
224,"[8, 9, 12]"
225,"[0, 1, 4]"
226,"[1, 5, 14]"
227,"[3, 5, 16]"
228,"[3, 16, 16]"
229,"[0, 1, 13]"
230,"[0, 12, 13]"
231,"[12, 15, 15]"
232,"[2, 6, 12]"
233,"[4, 6, 14]"
234,"[6, 10, 11]"
235,"[7, 14, 15]"
236,"[3, 6, 8]"
237,"[8, 10, 13]"
238,"[1, 9, 11]"
239,"[6, 13, 16]"
240,"[0, 13, 14]"
241,"[1, 1, 7]"
242,"[3, 9, 13]"
243,"[0, 5, 10]"
244,"[1, 1, 16]"
245,"[9, 11, 11]"
246,"[5, 6, 8]"
247,"[10, 11, 15]"
248,"[2, 2, 5]"
249,"[4, 10, 11]"
250,"[2, 2, 14]"
251,"[14, 16, 16]"
252,"[11, 12, 13]"
253,"[8, 13, 14]"
254,"[1, 12, 12]"
255,"[1, 4, 8]"
256,"[3, 12, 14]"
257,"[0, 8, 11]"
258,"[3, 4, 10]"
259,"[0, 0, 7]"
260,"[15, 15, 16]"
261,"[0, 0, 16]"
262,"[5, 10, 11]"
263,"[10, 14, 16]"
264,"[7, 10, 13]"
265,"[9, 10, 15]"
266,"[5, 13, 16]"
267,"[1, 5, 9]"
268,"[2, 9, 13]"
269,"[3, 13, 15]"
270,"[3, 5, 11]"
271,"[4, 9, 15]"
272,"[0, 1, 8]"
273,"[6, 9, 14]"
274,"[8, 9, 16]"
275,"[2, 6, 7]"
276,"[4, 6, 9]"
277,"[2, 6, 16]"
278,"[1, 1, 2]"
279,"[0, 5, 5]"
280,"[1, 1, 11]"
281,"[1, 8, 10]"
282,"[0, 4, 9]"
283,"[9, 11, 15]"
284,"[5, 6, 12]"
285,"[2, 2, 9]"
286,"[4, 10, 15]"
287,"[10, 10, 14]"
288,"[2, 13, 15]"
289,"[5, 9, 14]"
290,"[2, 5, 11]"
291,"[7, 9, 16]"
292,"[4, 5, 13]"
293,"[1, 12, 16]"
294,"[3, 4, 5]"
295,"[0, 0, 2]"
296,"[1, 4, 12]"
297,"[0, 8, 15]"
298,"[3, 4, 14]"
299,"[0, 0, 11]"
300,"[5, 10, 15]"
301,"[9, 10, 10]"
302,"[6, 9, 9]"
303,"[3, 5, 6]"
304,"[4, 9, 10]"
305,"[0, 1, 3]"
306,"[1, 5, 13]"
307,"[8, 9, 11]"
308,"[3, 5, 15]"
309,"[0, 1, 12]"
310,"[0, 12, 12]"
311,"[2, 6, 11]"
312,"[4, 6, 13]"
313,"[7, 14, 14]"
314,"[9, 14, 16]"
315,"[8, 12, 12]"
316,"[0, 4, 4]"
317,"[1, 8, 14]"
318,"[3, 8, 16]"
319,"[0, 4, 13]"
320,"[3, 11, 12]"
321,"[2, 2, 4]"
322,"[0, 7, 9]"
323,"[5, 6, 7]"
324,"[5, 9, 9]"
325,"[10, 13, 14]"
326,"[2, 5, 6]"
327,"[7, 9, 11]"
328,"[8, 13, 13]"
329,"[4, 5, 8]"
330,"[9, 9, 13]"
331,"[2, 5, 15]"
332,"[6, 16, 16]"
333,"[1, 4, 7]"
334,"[3, 12, 13]"
335,"[0, 8, 10]"
336,"[3, 4, 9]"
337,"[11, 11, 16]"
338,"[0, 0, 6]"
339,"[1, 4, 16]"
340,"[15, 15, 15]"
341,"[0, 0, 15]"
342,"[5, 10, 10]"
343,"[10, 14, 15]"
344,"[7, 10, 12]"
345,"[9, 10, 14]"
346,"[5, 13, 15]"
347,"[1, 5, 8]"
348,"[2, 9, 12]"
349,"[6, 9, 13]"
350,"[3, 5, 10]"
351,"[4, 9, 14]"
352,"[8, 9, 15]"
353,"[2, 6, 6]"
354,"[0, 11, 11]"
