u,Trial,Task,Dataset,Experiment,Openendedness,probabsame,probabmodify1,probabmodify2,probabmodify3
pro10,0,p4,birdstrikes,birdstrikesbdf,open,0.5038759689922481,0.4108527131782946,0.08527131782945736,0.0
pro10,1,p4,birdstrikes,birdstrikesbdf,open,0.44554455445544555,0.33663366336633666,0.2079207920792079,0.009900990099009901
pro11,0,p4,birdstrikes,birdstrikesbcf,open,0.6779661016949152,0.1694915254237288,0.15254237288135594,0.0
pro11,1,p4,birdstrikes,birdstrikesbcf,open,0.6576576576576577,0.23423423423423423,0.0990990990990991,0.009009009009009009
pro12,0,p4,birdstrikes,birdstrikesbdf,open,0.8267716535433071,0.11023622047244094,0.05511811023622047,0.007874015748031496
pro12,1,p4,birdstrikes,birdstrikesbdf,open,0.3050847457627119,0.288135593220339,0.3559322033898305,0.05084745762711865
pro14,0,p4,birdstrikes,birdstrikesbdf,open,0.6619718309859155,0.28169014084507044,0.04225352112676056,0.014084507042253521
pro14,1,p4,birdstrikes,birdstrikesbdf,open,0.5757575757575758,0.30303030303030304,0.09090909090909091,0.030303030303030304
pro16,0,p4,birdstrikes,birdstrikesbce,open,0.7538461538461538,0.24615384615384617,0.0,0.0
pro16,1,p4,birdstrikes,birdstrikesbce,open,0.5365853658536586,0.2682926829268293,0.1951219512195122,0.0
pro19,0,p4,birdstrikes,birdstrikesbcf,open,0.5793103448275863,0.18620689655172415,0.2,0.034482758620689655
pro19,1,p4,birdstrikes,birdstrikesbcf,open,0.4262295081967213,0.1721311475409836,0.32786885245901637,0.07377049180327869
pro1,0,p4,birdstrikes,birdstrikesbcf,open,0.5777777777777777,0.37777777777777777,0.044444444444444446,0.0
pro1,1,p4,birdstrikes,birdstrikesbcf,open,0.7254901960784313,0.19607843137254902,0.0784313725490196,0.0
pro26,0,p4,birdstrikes,birdstrikesbde,open,0.47368421052631576,0.3684210526315789,0.14473684210526316,0.013157894736842105
pro26,1,p4,birdstrikes,birdstrikesbde,open,0.6511627906976745,0.18604651162790697,0.1511627906976744,0.011627906976744186
pro27,0,p4,birdstrikes,birdstrikesbcf,open,0.5233644859813084,0.27102803738317754,0.17757009345794392,0.028037383177570093
pro27,1,p4,birdstrikes,birdstrikesbcf,open,0.3333333333333333,0.4,0.26666666666666666,0.0
pro28,0,p4,birdstrikes,birdstrikesbce,open,0.8082191780821918,0.1780821917808219,0.0136986301369863,0.0
pro28,1,p4,birdstrikes,birdstrikesbce,open,0.5476190476190477,0.2857142857142857,0.15476190476190477,0.011904761904761904
pro2,0,p4,birdstrikes,birdstrikesbce,open,0.564625850340136,0.38095238095238093,0.05442176870748299,0.0
pro2,1,p4,birdstrikes,birdstrikesbce,open,0.5373134328358209,0.3283582089552239,0.13432835820895522,0.0
pro30,0,p4,birdstrikes,birdstrikesbde,open,0.5107913669064749,0.381294964028777,0.10071942446043165,0.007194244604316547
pro30,1,p4,birdstrikes,birdstrikesbde,open,0.6515151515151515,0.32575757575757575,0.022727272727272728,0.0
pro32,0,p4,birdstrikes,birdstrikesbdf,open,0.487012987012987,0.43506493506493504,0.07142857142857142,0.006493506493506494
pro32,1,p4,birdstrikes,birdstrikesbdf,open,0.514792899408284,0.378698224852071,0.10059171597633136,0.005917159763313609
pro4,0,p4,birdstrikes,birdstrikesbce,open,0.8372093023255814,0.13953488372093023,0.023255813953488372,0.0
pro4,1,p4,birdstrikes,birdstrikesbce,open,0.8,0.18,0.02,0.0
pro6,0,p4,birdstrikes,birdstrikesbde,open,0.6106194690265486,0.2831858407079646,0.10619469026548672,0.0
pro6,1,p4,birdstrikes,birdstrikesbde,open,0.6551724137931034,0.3448275862068966,0.0,0.0
pro7,0,p4,birdstrikes,birdstrikesbde,open,0.7096774193548387,0.2903225806451613,0.0,0.0
pro7,1,p4,birdstrikes,birdstrikesbde,open,0.6842105263157895,0.21052631578947367,0.10526315789473684,0.0
stu12,0,p4,birdstrikes,birdstrikesbdf,open,0.6296296296296297,0.35555555555555557,0.014814814814814815,0.0
stu12,1,p4,birdstrikes,birdstrikesbdf,open,0.6497175141242938,0.3163841807909605,0.03389830508474576,0.0
stu14,0,p4,birdstrikes,birdstrikesbcf,open,0.5463917525773195,0.27835051546391754,0.17525773195876287,0.0
stu14,1,p4,birdstrikes,birdstrikesbcf,open,0.6170212765957447,0.2978723404255319,0.06382978723404255,0.02127659574468085
stu16,0,p4,birdstrikes,birdstrikesbcf,open,0.768,0.136,0.08,0.016
stu16,1,p4,birdstrikes,birdstrikesbcf,open,0.75,0.078125,0.1484375,0.0234375
stu18,0,p4,birdstrikes,birdstrikesbde,open,0.7333333333333333,0.2222222222222222,0.03333333333333333,0.011111111111111112
stu18,1,p4,birdstrikes,birdstrikesbde,open,0.6914893617021277,0.2127659574468085,0.09574468085106383,0.0
stu19,0,p4,birdstrikes,birdstrikesbde,open,0.5961538461538461,0.20192307692307693,0.20192307692307693,0.0
stu19,1,p4,birdstrikes,birdstrikesbde,open,0.3888888888888889,0.3333333333333333,0.25925925925925924,0.018518518518518517
stu1,0,p4,birdstrikes,birdstrikesbce,open,0.6132075471698113,0.3867924528301887,0.0,0.0
stu1,1,p4,birdstrikes,birdstrikesbce,open,0.4225352112676056,0.5070422535211268,0.07042253521126761,0.0
stu20,0,p4,birdstrikes,birdstrikesbdf,open,0.4782608695652174,0.5217391304347826,0.0,0.0
stu20,1,p4,birdstrikes,birdstrikesbdf,open,0.0,0.0,0.0,0.0
stu22,0,p4,birdstrikes,birdstrikesbde,open,0.6785714285714286,0.27380952380952384,0.047619047619047616,0.0
stu22,1,p4,birdstrikes,birdstrikesbde,open,0.6923076923076923,0.3076923076923077,0.0,0.0
stu23,0,p4,birdstrikes,birdstrikesbdf,open,0.5666666666666667,0.43333333333333335,0.0,0.0
stu23,1,p4,birdstrikes,birdstrikesbdf,open,0.7931034482758621,0.20689655172413793,0.0,0.0
stu27,0,p4,birdstrikes,birdstrikesbdf,open,0.5268817204301075,0.3118279569892473,0.13978494623655913,0.021505376344086023
stu27,1,p4,birdstrikes,birdstrikesbdf,open,0.5448275862068965,0.11724137931034483,0.296551724137931,0.041379310344827586
stu28,0,p4,birdstrikes,birdstrikesbde,open,0.6742424242424242,0.2803030303030303,0.045454545454545456,0.0
stu28,1,p4,birdstrikes,birdstrikesbde,open,0.6262626262626263,0.37373737373737376,0.0,0.0
stu2,0,p4,birdstrikes,birdstrikesbce,open,0.722488038277512,0.11483253588516747,0.14354066985645933,0.019138755980861243
stu2,1,p4,birdstrikes,birdstrikesbce,open,0.6904761904761905,0.16666666666666666,0.14285714285714285,0.0
stu32,0,p4,birdstrikes,birdstrikesbce,open,0.6106194690265486,0.3805309734513274,0.008849557522123894,0.0
stu32,1,p4,birdstrikes,birdstrikesbce,open,0.7848101265822784,0.21518987341772153,0.0,0.0
stu33,0,p4,birdstrikes,birdstrikesbce,open,0.6666666666666666,0.29292929292929293,0.04040404040404041,0.0
stu33,1,p4,birdstrikes,birdstrikesbce,open,0.5853658536585366,0.3902439024390244,0.024390243902439025,0.0
stu34,0,p4,birdstrikes,birdstrikesbcf,open,0.64,0.26,0.1,0.0
stu34,1,p4,birdstrikes,birdstrikesbcf,open,0.7931034482758621,0.1724137931034483,0.034482758620689655,0.0
stu35,0,p4,birdstrikes,birdstrikesbde,open,0.5555555555555556,0.4444444444444444,0.0,0.0
stu35,1,p4,birdstrikes,birdstrikesbde,open,0.5571428571428572,0.38571428571428573,0.05714285714285714,0.0
stu40,0,p4,birdstrikes,birdstrikesbdf,open,0.717948717948718,0.1794871794871795,0.10256410256410256,0.0
stu40,1,p4,birdstrikes,birdstrikesbdf,open,0.4117647058823529,0.37254901960784315,0.21568627450980393,0.0
stu5,0,p4,birdstrikes,birdstrikesbcf,open,0.5853658536585366,0.17073170731707318,0.12195121951219512,0.12195121951219512
stu5,1,p4,birdstrikes,birdstrikesbcf,open,0.4827586206896552,0.13793103448275862,0.2413793103448276,0.13793103448275862
stu8,0,p4,birdstrikes,birdstrikesbce,open,0.7,0.2714285714285714,0.02857142857142857,0.0
stu8,1,p4,birdstrikes,birdstrikesbce,open,0.5,0.5,0.0,0.0
stu9,0,p4,birdstrikes,birdstrikesbcf,open,0.4915254237288136,0.15254237288135594,0.3559322033898305,0.0
stu9,1,p4,birdstrikes,birdstrikesbcf,open,0.8,0.058823529411764705,0.12941176470588237,0.011764705882352941
