u,Trial,Task,Dataset,Experiment,Openendedness,probabsame,probabmodify1,probabmodify2,probabmodify3
pro1,0,p1,birdstrikes,birdstrikesbcf,focused,0.3,0.4,0.3,0.0
pro1,1,p1,birdstrikes,birdstrikesbcf,focused,0.5,0.25,0.25,0.0
pro1,0,p2,birdstrikes,birdstrikesbcf,focused,0.5,0.5,0.0,0.0
pro1,1,p2,birdstrikes,birdstrikesbcf,focused,0.6470588235294118,0.2352941176470588,0.1176470588235294,0.0
pro1,0,p3,birdstrikes,birdstrikesbcf,open,0.6025641025641025,0.1923076923076923,0.1794871794871795,0.0256410256410256
pro1,1,p3,birdstrikes,birdstrikesbcf,open,0.6363636363636364,0.1515151515151515,0.2121212121212121,0.0
pro1,0,p4,birdstrikes,birdstrikesbcf,open,0.625,0.325,0.05,0.0
pro1,1,p4,birdstrikes,birdstrikesbcf,open,0.8409090909090909,0.1590909090909091,0.0,0.0
pro10,0,p1,birdstrikes,birdstrikesbdf,focused,0.5,0.5,0.0,0.0
pro10,1,p1,birdstrikes,birdstrikesbdf,focused,1.0,0.0,0.0,0.0
pro10,0,p2,birdstrikes,birdstrikesbdf,focused,0.7727272727272727,0.2272727272727272,0.0,0.0
pro10,1,p2,birdstrikes,birdstrikesbdf,focused,0.8461538461538461,0.0769230769230769,0.0769230769230769,0.0
pro10,0,p3,birdstrikes,birdstrikesbdf,open,0.7352941176470589,0.2450980392156862,0.0196078431372549,0.0
pro10,1,p3,birdstrikes,birdstrikesbdf,open,0.6746031746031746,0.2142857142857142,0.1031746031746031,0.0079365079365079
pro10,0,p4,birdstrikes,birdstrikesbdf,open,0.5514018691588785,0.3457943925233644,0.0747663551401869,0.02803738317757
pro10,1,p4,birdstrikes,birdstrikesbdf,open,0.5,0.3953488372093023,0.1046511627906976,0.0
pro11,0,p1,birdstrikes,birdstrikesbcf,focused,0.625,0.1458333333333333,0.2291666666666666,0.0
pro11,1,p1,birdstrikes,birdstrikesbcf,focused,0.53125,0.15625,0.3125,0.0
pro11,0,p2,birdstrikes,birdstrikesbcf,focused,0.6666666666666666,0.1904761904761904,0.1428571428571428,0.0
pro11,1,p2,birdstrikes,birdstrikesbcf,focused,0.6190476190476191,0.1428571428571428,0.238095238095238,0.0
pro11,0,p3,birdstrikes,birdstrikesbcf,open,0.7959183673469388,0.0816326530612244,0.1020408163265306,0.0204081632653061
pro11,1,p3,birdstrikes,birdstrikesbcf,open,0.6779661016949152,0.0677966101694915,0.2542372881355932,0.0
pro11,0,p4,birdstrikes,birdstrikesbcf,open,0.6724137931034483,0.1724137931034483,0.1551724137931034,0.0
pro11,1,p4,birdstrikes,birdstrikesbcf,open,0.6697247706422018,0.2385321100917431,0.091743119266055,0.0
pro12,0,p1,birdstrikes,birdstrikesbdf,focused,0.5,0.4333333333333333,0.0666666666666666,0.0
pro12,1,p1,birdstrikes,birdstrikesbdf,focused,0.5277777777777778,0.3611111111111111,0.1111111111111111,0.0
pro12,0,p2,birdstrikes,birdstrikesbdf,focused,0.5576923076923077,0.3653846153846153,0.0576923076923076,0.0192307692307692
pro12,1,p2,birdstrikes,birdstrikesbdf,focused,0.7,0.225,0.075,0.0
pro12,0,p3,birdstrikes,birdstrikesbdf,open,0.5,0.5,0.0,0.0
pro12,1,p3,birdstrikes,birdstrikesbdf,open,0.6,0.4,0.0,0.0
pro12,0,p4,birdstrikes,birdstrikesbdf,open,0.8524590163934426,0.1393442622950819,0.0081967213114754,0.0
pro12,1,p4,birdstrikes,birdstrikesbdf,open,0.4090909090909091,0.5227272727272727,0.0681818181818181,0.0
pro13,0,p1,movies,moviesace,focused,0.5555555555555556,0.4444444444444444,0.0,0.0
pro13,1,p1,movies,moviesace,focused,1.0,0.0,0.0,0.0
pro13,0,p2,movies,moviesace,focused,0.3333333333333333,0.6666666666666666,0.0,0.0
pro13,1,p2,movies,moviesace,focused,1.0,0.0,0.0,0.0
pro13,0,p3,movies,moviesace,open,0.7678571428571429,0.2321428571428571,0.0,0.0
pro13,1,p3,movies,moviesace,open,0.6792452830188679,0.3018867924528302,0.0188679245283018,0.0
pro13,0,p4,movies,moviesace,open,0.5384615384615384,0.4615384615384615,0.0,0.0
pro13,1,p4,movies,moviesace,open,0.7419354838709677,0.2580645161290322,0.0,0.0
pro14,0,p1,birdstrikes,birdstrikesbdf,focused,0.4285714285714285,0.5714285714285714,0.0,0.0
pro14,1,p1,birdstrikes,birdstrikesbdf,focused,0.5833333333333334,0.4166666666666667,0.0,0.0
pro14,0,p2,birdstrikes,birdstrikesbdf,focused,0.4375,0.4375,0.125,0.0
pro14,1,p2,birdstrikes,birdstrikesbdf,focused,0.3181818181818182,0.5909090909090909,0.0909090909090909,0.0
pro14,0,p3,birdstrikes,birdstrikesbdf,open,0.4358974358974359,0.4102564102564102,0.1538461538461538,0.0
pro14,1,p3,birdstrikes,birdstrikesbdf,open,0.6875,0.25,0.0625,0.0
pro14,0,p4,birdstrikes,birdstrikesbdf,open,0.6764705882352942,0.2647058823529412,0.0588235294117647,0.0
pro14,1,p4,birdstrikes,birdstrikesbdf,open,0.6333333333333333,0.25,0.1166666666666666,0.0
pro15,0,p1,movies,moviesade,focused,0.8666666666666667,0.1333333333333333,0.0,0.0
pro15,1,p1,movies,moviesade,focused,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.0
pro15,0,p2,movies,moviesade,focused,0.7307692307692307,0.2692307692307692,0.0,0.0
pro15,1,p2,movies,moviesade,focused,0.7058823529411765,0.2941176470588235,0.0,0.0
pro15,0,p3,movies,moviesade,open,0.4848484848484848,0.5151515151515151,0.0,0.0
pro15,1,p3,movies,moviesade,open,0.3478260869565217,0.6521739130434783,0.0,0.0
pro15,0,p4,movies,moviesade,open,0.4117647058823529,0.5294117647058824,0.0588235294117647,0.0
pro15,1,p4,movies,moviesade,open,0.4418604651162791,0.5581395348837209,0.0,0.0
pro16,0,p1,birdstrikes,birdstrikesbce,focused,0.8461538461538461,0.1538461538461538,0.0,0.0
pro16,1,p1,birdstrikes,birdstrikesbce,focused,1.0,0.0,0.0,0.0
pro16,0,p2,birdstrikes,birdstrikesbce,focused,0.625,0.375,0.0,0.0
pro16,1,p2,birdstrikes,birdstrikesbce,focused,0.8333333333333334,0.1666666666666666,0.0,0.0
pro16,0,p3,birdstrikes,birdstrikesbce,open,0.6666666666666666,0.3333333333333333,0.0,0.0
pro16,1,p3,birdstrikes,birdstrikesbce,open,0.6323529411764706,0.3676470588235294,0.0,0.0
pro16,0,p4,birdstrikes,birdstrikesbce,open,0.7818181818181819,0.2181818181818181,0.0,0.0
pro16,1,p4,birdstrikes,birdstrikesbce,open,0.6666666666666666,0.3333333333333333,0.0,0.0
pro17,0,p1,movies,moviesace,focused,0.72,0.28,0.0,0.0
pro17,1,p1,movies,moviesace,focused,0.7083333333333334,0.2916666666666667,0.0,0.0
pro17,0,p2,movies,moviesace,focused,0.6904761904761905,0.3095238095238095,0.0,0.0
pro17,1,p2,movies,moviesace,focused,0.6976744186046512,0.3023255813953488,0.0,0.0
pro17,0,p3,movies,moviesace,open,0.492063492063492,0.5079365079365079,0.0,0.0
pro17,1,p3,movies,moviesace,open,0.7878787878787878,0.2121212121212121,0.0,0.0
pro17,0,p4,movies,moviesace,open,0.6111111111111112,0.3888888888888889,0.0,0.0
pro17,1,p4,movies,moviesace,open,0.6589147286821705,0.3410852713178294,0.0,0.0
pro18,0,p1,movies,moviesadf,focused,0.7037037037037037,0.2962962962962963,0.0,0.0
pro18,1,p1,movies,moviesadf,focused,0.4,0.4666666666666667,0.1333333333333333,0.0
pro18,0,p2,movies,moviesadf,focused,0.8888888888888888,0.1111111111111111,0.0,0.0
pro18,1,p2,movies,moviesadf,focused,1.0,0.0,0.0,0.0
pro18,0,p3,movies,moviesadf,open,0.4285714285714285,0.5,0.0714285714285714,0.0
pro18,1,p3,movies,moviesadf,open,0.4893617021276595,0.4468085106382978,0.0638297872340425,0.0
pro18,0,p4,movies,moviesadf,open,0.4468085106382978,0.5531914893617021,0.0,0.0
pro18,1,p4,movies,moviesadf,open,0.25,0.75,0.0,0.0
pro19,0,p1,birdstrikes,birdstrikesbcf,focused,0.7083333333333334,0.125,0.1666666666666666,0.0
pro19,1,p1,birdstrikes,birdstrikesbcf,focused,0.5625,0.15625,0.21875,0.0625
pro19,0,p2,birdstrikes,birdstrikesbcf,focused,0.6129032258064516,0.0967741935483871,0.2903225806451613,0.0
pro19,1,p2,birdstrikes,birdstrikesbcf,focused,0.6428571428571429,0.1785714285714285,0.1785714285714285,0.0
pro19,0,p3,birdstrikes,birdstrikesbcf,open,0.6926406926406926,0.1168831168831168,0.1818181818181818,0.0086580086580086
pro19,1,p3,birdstrikes,birdstrikesbcf,open,0.5911949685534591,0.0817610062893081,0.2767295597484276,0.050314465408805
pro19,0,p4,birdstrikes,birdstrikesbcf,open,0.627906976744186,0.2015503875968992,0.1395348837209302,0.0310077519379844
pro19,1,p4,birdstrikes,birdstrikesbcf,open,0.5102040816326531,0.173469387755102,0.2959183673469387,0.0204081632653061
pro2,0,p1,birdstrikes,birdstrikesbce,focused,0.5294117647058824,0.4705882352941176,0.0,0.0
pro2,1,p1,birdstrikes,birdstrikesbce,focused,0.7254901960784313,0.2745098039215686,0.0,0.0
pro2,0,p2,birdstrikes,birdstrikesbce,focused,0.5,0.5,0.0,0.0
pro2,1,p2,birdstrikes,birdstrikesbce,focused,0.8095238095238095,0.1904761904761904,0.0,0.0
pro2,0,p3,birdstrikes,birdstrikesbce,open,0.6,0.4,0.0,0.0
pro2,1,p3,birdstrikes,birdstrikesbce,open,0.4677419354838709,0.532258064516129,0.0,0.0
