u,Trial,Task,Experiment,Openendedness,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
pro13,0,p1,moviesace,focused,0.5555555555555556,0,0.1111111111111111,0,0.3333333333333333,0,0.0,0
pro13,0,p1,moviesace,focused,0.5555555555555556,0,0.1111111111111111,0,0.3333333333333333,0,0.0,0
pro13,0,p1,moviesace,focused,0.5555555555555556,0,0.1111111111111111,0,0.3333333333333333,0,0.0,0
pro13,0,p1,moviesace,focused,0.5555555555555556,0,0.1111111111111111,0,0.3333333333333333,0,0.0,0
pro13,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro13,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro13,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro13,1,p1,moviesace,focused,1.0,0,0.0,0,0.0,0,0.0,0
pro15,0,p1,moviesade,focused,0.8666666666666667,0,0.06666666666666667,0,0.0,0,0.06666666666666667,0
pro15,0,p1,moviesade,focused,0.8666666666666667,0,0.06666666666666667,0,0.0,0,0.06666666666666667,0
pro15,0,p1,moviesade,focused,0.8666666666666667,0,0.06666666666666667,0,0.0,0,0.06666666666666667,0
pro15,0,p1,moviesade,focused,0.8666666666666667,0,0.06666666666666667,0,0.0,0,0.06666666666666667,0
pro15,1,p1,moviesade,focused,0.42857142857142855,0,0.14285714285714285,0,0.14285714285714285,0,0.2857142857142857,0
pro15,1,p1,moviesade,focused,0.42857142857142855,0,0.14285714285714285,0,0.14285714285714285,0,0.2857142857142857,0
pro15,1,p1,moviesade,focused,0.42857142857142855,0,0.14285714285714285,0,0.14285714285714285,0,0.2857142857142857,0
pro15,1,p1,moviesade,focused,0.42857142857142855,0,0.14285714285714285,0,0.14285714285714285,0,0.2857142857142857,0
pro17,0,p1,moviesace,focused,0.72,0,0.16,0,0.08,0,0.04,0
pro17,0,p1,moviesace,focused,0.72,0,0.16,0,0.08,0,0.04,0
pro17,0,p1,moviesace,focused,0.72,0,0.16,0,0.08,0,0.04,0
pro17,0,p1,moviesace,focused,0.72,0,0.16,0,0.08,0,0.04,0
pro17,1,p1,moviesace,focused,0.7083333333333334,0,0.20833333333333334,0,0.0,0,0.08333333333333333,0
pro17,1,p1,moviesace,focused,0.7083333333333334,0,0.20833333333333334,0,0.0,0,0.08333333333333333,0
pro17,1,p1,moviesace,focused,0.7083333333333334,0,0.20833333333333334,0,0.0,0,0.08333333333333333,0
pro17,1,p1,moviesace,focused,0.7083333333333334,0,0.20833333333333334,0,0.0,0,0.08333333333333333,0
pro18,0,p1,moviesadf,focused,0.7037037037037037,0,0.2962962962962963,0,0.0,0,0.0,0
pro18,0,p1,moviesadf,focused,0.7037037037037037,0,0.2962962962962963,0,0.0,0,0.0,0
pro18,0,p1,moviesadf,focused,0.7037037037037037,0,0.2962962962962963,0,0.0,0,0.0,0
pro18,0,p1,moviesadf,focused,0.7037037037037037,0,0.2962962962962963,0,0.0,0,0.0,0
pro18,1,p1,moviesadf,focused,0.4,0,0.3333333333333333,0,0.26666666666666666,0,0.0,0
pro18,1,p1,moviesadf,focused,0.4,0,0.3333333333333333,0,0.26666666666666666,0,0.0,0
pro18,1,p1,moviesadf,focused,0.4,0,0.3333333333333333,0,0.26666666666666666,0,0.0,0
pro18,1,p1,moviesadf,focused,0.4,0,0.3333333333333333,0,0.26666666666666666,0,0.0,0
pro20,0,p1,moviesade,focused,0.6296296296296297,0,0.3333333333333333,0,0.037037037037037035,0,0.0,0
pro20,0,p1,moviesade,focused,0.6296296296296297,0,0.3333333333333333,0,0.037037037037037035,0,0.0,0
pro20,0,p1,moviesade,focused,0.6296296296296297,0,0.3333333333333333,0,0.037037037037037035,0,0.0,0
pro20,0,p1,moviesade,focused,0.6296296296296297,0,0.3333333333333333,0,0.037037037037037035,0,0.0,0
pro20,1,p1,moviesade,focused,0.6666666666666666,0,0.0,0,0.0,0,0.3333333333333333,0
pro20,1,p1,moviesade,focused,0.6666666666666666,0,0.0,0,0.0,0,0.3333333333333333,0
pro20,1,p1,moviesade,focused,0.6666666666666666,0,0.0,0,0.0,0,0.3333333333333333,0
pro20,1,p1,moviesade,focused,0.6666666666666666,0,0.0,0,0.0,0,0.3333333333333333,0
pro21,0,p1,moviesade,focused,0.8333333333333334,0,0.10416666666666667,0,0.020833333333333332,0,0.041666666666666664,0
pro21,0,p1,moviesade,focused,0.8333333333333334,0,0.10416666666666667,0,0.020833333333333332,0,0.041666666666666664,0
pro21,0,p1,moviesade,focused,0.8333333333333334,0,0.10416666666666667,0,0.020833333333333332,0,0.041666666666666664,0
pro21,0,p1,moviesade,focused,0.8333333333333334,0,0.10416666666666667,0,0.020833333333333332,0,0.041666666666666664,0
pro21,1,p1,moviesade,focused,0.9117647058823529,0,0.0,0,0.058823529411764705,0,0.029411764705882353,0
pro21,1,p1,moviesade,focused,0.9117647058823529,0,0.0,0,0.058823529411764705,0,0.029411764705882353,0
pro21,1,p1,moviesade,focused,0.9117647058823529,0,0.0,0,0.058823529411764705,0,0.029411764705882353,0
pro21,1,p1,moviesade,focused,0.9117647058823529,0,0.0,0,0.058823529411764705,0,0.029411764705882353,0
pro22,0,p1,moviesade,focused,0.5957446808510638,0,0.14893617021276595,0,0.23404255319148937,0,0.02127659574468085,0
pro22,0,p1,moviesade,focused,0.5957446808510638,0,0.14893617021276595,0,0.23404255319148937,0,0.02127659574468085,0
pro22,0,p1,moviesade,focused,0.5957446808510638,0,0.14893617021276595,0,0.23404255319148937,0,0.02127659574468085,0
