U_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,User,Trial
0,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699101792,0.5444444444444444,same,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging,pro22_ade_p1,1
1,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699102835,0.5444444444444444,modify-1,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging,pro22_ade_p1,1
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699103392,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
3,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699105716,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
4,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699108614,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
5,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699109831,0.4333333333333333,same,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,pro22_ade_p1,1
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699113597,0.4333333333333333,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging,pro22_ade_p1,1
7,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699114447,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,pro22_ade_p1,1
8,clicked on a field,add Director,1602699115924,0.5722222222222222,same,"['Director', 'None', 'None']","[12, 16, 16]",Foraging,pro22_ade_p1,1
9,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602699116024,0.5722222222222222,same,"['Director', 'None', 'None']","[12, 16, 16]",Foraging,pro22_ade_p1,1
10,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602699117275,0.5722222222222222,modify-1,"['Director', 'None', 'None']","[12, 16, 16]",Sensemaking,pro22_ade_p1,1
11,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y,Release_Date-nominal-row",1602699118463,1.0444444444444445,same,"['Director', 'None', 'Release_Date']","[5, 12, 16]",Foraging,pro22_ade_p1,1
