U_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,User,Trial
0,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1599167066187,0.9333333333333332,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging,stu29_ade_p4,1
1,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y,Source-nominal-color",1599167070451,2.738888888888889,same,"['None', 'Release_Date', 'Source']","[5, 9, 16]",Foraging,stu29_ade_p4,1
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y,Source-nominal-color",1599167071765,2.738888888888889,modify-1,"['None', 'Release_Date', 'Source']","[5, 9, 16]",Foraging,stu29_ade_p4,1
3,main chart changed because of clicking a field,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167074689,1.5166666666666666,same,"['None', 'Release_Date', 'US_DVD_Sales']","[3, 5, 16]",Foraging,stu29_ade_p4,1
4,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167077798,1.5166666666666666,same,"['None', 'Release_Date', 'US_DVD_Sales']","[3, 5, 16]",Sensemaking,stu29_ade_p4,1
5,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167085346,1.5166666666666666,modify-1,"['None', 'Release_Date', 'US_DVD_Sales']","[3, 5, 16]",Sensemaking,stu29_ade_p4,1
6,main chart changed because of clicking a field,"mark:point;encoding:Release_Date-nominal-x,US_DVD_Sales-quantitative-y<bin>,Worldwide_Gross-quantitative-size",1599167089353,2.433333333333333,modify-1,"['Release_Date', 'US_DVD_Sales', 'Worldwide_Gross']","[2, 3, 5]",Foraging,stu29_ade_p4,1
7,main chart changed because of clicking a field,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167091332,1.5166666666666666,modify-1,"['None', 'Release_Date', 'US_DVD_Sales']","[3, 5, 16]",Foraging,stu29_ade_p4,1
8,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167092128,3.4611111111111112,same,"['Creative_Type', 'Release_Date', 'US_DVD_Sales']","[3, 5, 11]",Foraging,stu29_ade_p4,1
9,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167100294,3.4611111111111112,modify-1,"['Creative_Type', 'Release_Date', 'US_DVD_Sales']","[3, 5, 11]",Foraging,stu29_ade_p4,1
10,main chart changed because of clicking a field,"mark:point;encoding:Release_Date-nominal-x,US_DVD_Sales-quantitative-y<bin>,US_Gross-quantitative-size",1599167102650,2.35,same,"['Release_Date', 'US_DVD_Sales', 'US_Gross']","[1, 3, 5]",Foraging,stu29_ade_p4,1
11,mouseover on the specified chart,"mark:point;encoding:Release_Date-nominal-x,US_DVD_Sales-quantitative-y<bin>,US_Gross-quantitative-size",1599167104710,2.35,same,"['Release_Date', 'US_DVD_Sales', 'US_Gross']","[1, 3, 5]",Sensemaking,stu29_ade_p4,1
