Interaction,Value,Time
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699806308
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699806318
mouseover a related chart,mark:tick;encoding:US_DVD_Sales-quantitative-x,1602699808324
mouseout a related chart,mark:tick;encoding:US_DVD_Sales-quantitative-x,1602699808358
mouseover a related chart,mark:tick;encoding:Worldwide_Gross-quantitative-x,1602699809898
mouseout a related chart,mark:tick;encoding:Worldwide_Gross-quantitative-x,1602699809915
mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699809915
mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699809948
mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699829764
mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699829781
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699829798
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699830248
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699830249
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699833426
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699833426
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699834698
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699834698
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699834715
mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699834731
mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602699834765
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699837848
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602699837899
clicked on a field,add MPAA_Rating,1602699850185
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699850270
mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699851663
mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699851697
mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699851697
mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699851713
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y,Release_Date-nominal-row",1602699859279
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y,Release_Date-nominal-row",1602699859296
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y,Release_Date-nominal-row",1602699859296
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y,Release_Date-nominal-row",1602699859346
clicked on a field,add IMDB_Rating,1602699862184
main chart changed because of clicking a field,"mark:tick;encoding:IMDB_Rating-quantitative-x,MPAA_Rating-nominal-y",1602699862268
clicked on a field,add IMDB_Votes,1602699866997
main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,IMDB_Votes-quantitative-y<bin>,MPAA_Rating-nominal-x",1602699867116
clicked on a field,"tried to add Rotten_Tomatoes_Rating, but failed because already selected 3 fields",1602699872070
mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,IMDB_Votes-quantitative-y<bin>,MPAA_Rating-nominal-x",1602699875212
mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-size<aggregate>mean,IMDB_Votes-quantitative-y<bin>,MPAA_Rating-nominal-x",1602699875245
clicked on a field,remove IMDB_Votes,1602699876470
main chart changed because of clicking a field,"mark:tick;encoding:IMDB_Rating-quantitative-x,MPAA_Rating-nominal-y",1602699876500
clicked on a field,remove IMDB_Rating,1602699877008
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602699877027
clicked on a field,remove MPAA_Rating,1602699878072
clicked on a field,add Rotten_Tomatoes_Rating,1602699880410
main chart changed because of clicking a field,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602699880450
mouseover a related chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1602699881378
mouseout a related chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1602699881394
mouseover on the specified chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602699882795
mouseout on the specified chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602699882812
mouseover on the specified chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602699882812
mouseout on the specified chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602699886270
