Interaction,Value,Time
study begins,page loaded,1602885207585
mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602885209213
mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602885209216
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602885209216
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602885209256
clicked on a field,add Director,1602885211620
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602885212023
clicked on a field,add US_Gross,1602885216830
main chart changed because of clicking a field,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885217055
mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Director-nominal-y,US_Gross-quantitative-x",1602885220084
mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Director-nominal-y,US_Gross-quantitative-x",1602885224365
mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Director-nominal-y,US_Gross-quantitative-x",1602885224366
mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Director-nominal-y,US_Gross-quantitative-x",1602885224377
mouseover on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885224634
mouseout on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885224668
mouseover on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885224668
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227609
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227626
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227643
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227659
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227692
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227709
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227726
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227743
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227759
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227809
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227826
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227843
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227859
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227877
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227892
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227910
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227926
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227943
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227959
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227977
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885227993
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228009
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228026
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228042
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228060
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228077
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228093
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228109
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228126
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228142
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228159
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228177
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228193
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228209
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228226
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228243
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228259
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228292
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228309
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228326
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228342
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228377
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228393
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228410
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228426
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228443
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228459
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228477
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228492
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228509
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228559
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228577
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228592
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228610
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228626
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228643
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228659
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228677
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228693
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228709
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228726
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228742
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228760
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228777
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228793
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228842
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228859
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228876
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228893
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228926
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228942
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228959
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228977
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885228993
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229009
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229026
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229042
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229059
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229109
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229125
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229142
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229159
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229175
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229192
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229209
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229225
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229243
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229259
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229275
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229293
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229310
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229326
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229343
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229359
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229376
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229393
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229409
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229425
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229442
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229459
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229476
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229492
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229509
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229576
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229592
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229609
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229626
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229676
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229693
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229742
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229759
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229792
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229826
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229859
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229876
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229909
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229925
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229942
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229959
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885229992
scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,US_Gross-quantitative-x",1602885230026
