Interaction,Value,Time
study begins,page loaded,1606701984133
mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606701985863
mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606701985876
clicked on a field,add Creative_Type,1606701986751
main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1606701986781
clicked on a field,add Source,1606701994892
main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606701994918
mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606701999322
mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606701999330
mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606701999330
mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606702004137
mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606702005003
mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606702028369
added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1606702029005
scroll down,,1606702030202
scroll down,,1606702030217
scroll down,,1606702030236
scroll down,,1606702030260
scroll down,,1606702030277
scroll down,,1606702030293
scroll down,,1606702030309
scroll down,,1606702030325
scroll down,,1606702030341
scroll down,,1606702030357
scroll down,,1606702030374
scroll down,,1606702030390
scroll down,,1606702030407
scroll down,,1606702030424
scroll down,,1606702030441
scroll down,,1606702030457
scroll down,,1606702031192
scroll down,,1606702032342
scroll down,,1606702032358
scroll down,,1606702032374
scroll down,,1606702032390
scroll down,,1606702032417
scroll down,,1606702032435
scroll down,,1606702032451
scroll down,,1606702032465
scroll down,,1606702032482
scroll down,,1606702032497
scroll down,,1606702032514
scroll down,,1606702032531
scroll down,,1606702032548
scroll down,,1606702032563
scroll down,,1606702032580
scroll down,,1606702032597
scroll down,,1606702032613
scroll down,,1606702032631
scroll down,,1606702032646
scroll down,,1606702032664
scroll down,,1606702032681
scroll down,,1606702032697
scroll down,,1606702032713
scroll down,,1606702032730
scroll down,,1606702032746
scroll down,,1606702032764
scroll down,,1606702032780
scroll down,,1606702032796
scroll down,,1606702032813
scroll down,,1606702032830
scroll down,,1606702032846
scroll down,,1606702032863
scroll down,,1606702032881
scroll down,,1606702032897
scroll down,,1606702032914
scroll down,,1606702032931
scroll down,,1606702032948
scroll down,,1606702032980
scroll down,,1606702033013
scroll down,,1606702033031
scroll down,,1606702033047
scroll down,,1606702033081
scroll down,,1606702033130
scroll down,,1606702033148
scroll down,,1606702033181
scroll down,,1606702033197
scroll down,,1606702033230
scroll down,,1606702033297
scroll down,,1606702033396
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702035095
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702035104
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702035104
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702038632
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702038632
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702038639
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702040204
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702041140
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702041141
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1606702041157
scroll down,,1606702041450
scroll down,,1606702041887
scroll down,,1606702043354
scroll down,,1606702043372
scroll down,,1606702043388
scroll down,,1606702043576
scroll down,,1606702043594
scroll down,,1606702043610
scroll down,,1606702043642
scroll down,,1606702043660
scroll down,,1606702043675
scroll down,,1606702043693
scroll down,,1606702043710
scroll down,,1606702043726
scroll down,,1606702043743
scroll down,,1606702043760
scroll down,,1606702043777
scroll down,,1606702043794
scroll down,,1606702043810
scroll down,,1606702043827
scroll down,,1606702043843
scroll down,,1606702043876
scroll down,,1606702043893
scroll down,,1606702043910
scroll down,,1606702043926
scroll down,,1606702043944
scroll down,,1606702043960
scroll down,,1606702043977
scroll down,,1606702043994
scroll down,,1606702044010
scroll down,,1606702044027
scroll down,,1606702044043
scroll down,,1606702044060
scroll down,,1606702044076
scroll down,,1606702044159
scroll down,,1606702044176
scroll down,,1606702044193
scroll down,,1606702044210
scroll down,,1606702044233
scroll down,,1606702044313
scroll down,,1606702044380
scroll down,,1606702044463
scroll down,,1606702044567
scroll up,,1606702044671
scroll up,,1606702044687
scroll up,,1606702044740
scroll up,,1606702044757
scroll up,,1606702044809
scroll up,,1606702044909
