Interaction,Value,Time
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170988351
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170988651
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170989251
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170989267
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170989267
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170989500
mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170989501
mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602170989534
clicked on a field,add US_Gross,1602170990987
main chart changed because of clicking a field,mark:tick;encoding:US_Gross-quantitative-x,1602170991453
mouseover on the specified chart,mark:tick;encoding:US_Gross-quantitative-x,1602170993820
mouseout on the specified chart,mark:tick;encoding:US_Gross-quantitative-x,1602170993982
mouseover on the specified chart,mark:tick;encoding:US_Gross-quantitative-x,1602170993982
mouseout on the specified chart,mark:tick;encoding:US_Gross-quantitative-x,1602170994683
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602170998667
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602170998683
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602170998683
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602170998901
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602170998902
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602170998951
mouseover a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Title-nominal-y,US_Gross-quantitative-size",1602170998983
mouseout a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Title-nominal-y,US_Gross-quantitative-size",1602170999800
mouseover a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Title-nominal-y,US_Gross-quantitative-size",1602170999801
mouseout a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Title-nominal-y,US_Gross-quantitative-size",1602171001284
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171001300
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171003552
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171003552
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171003617
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171004766
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171004767
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171004767
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171004884
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171004885
mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171005068
mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171005068
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006785
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006800
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006818
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006833
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006851
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006867
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006883
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006900
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006916
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006933
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006951
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006967
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171006984
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171007000
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171007018
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171007034
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171007050
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171007067
scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-x,Director-nominal-y,US_Gross-quantitative-size",1602171007083
