User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
241,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1607552790318,0.1,modify-x-y,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
251,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1607552796712,0.1,same,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
252,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1607552797945,0.1,modify-x-y,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
257,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>",1607552808067,3.1,same,"['Rotten_Tomatoes_Rating', 'Major_Genre', 'None']","[13, 10, 16]",Sensemaking
258,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>",1607552814519,3.1,same,"['Rotten_Tomatoes_Rating', 'Major_Genre', 'None']","[13, 10, 16]",Sensemaking
259,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>",1607552815232,3.1,same,"['Rotten_Tomatoes_Rating', 'Major_Genre', 'None']","[13, 10, 16]",Sensemaking
349,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>",1607552836070,3.1,same,"['Rotten_Tomatoes_Rating', 'Major_Genre', 'None']","[13, 10, 16]",Sensemaking
449,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Rotten_Tomatoes_Rating-quantitative-x<bin>",1607552859227,3.1,modify-x-y,"['Rotten_Tomatoes_Rating', 'Major_Genre', 'None']","[13, 10, 16]",Sensemaking
464,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Rotten_Tomatoes_Rating-quantitative-y<bin>",1607552898902,4.1,same,"['Release_Date', 'Rotten_Tomatoes_Rating', 'None']","[5, 13, 16]",Sensemaking
465,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Rotten_Tomatoes_Rating-quantitative-y<bin>",1607552901326,4.1,same,"['Release_Date', 'Rotten_Tomatoes_Rating', 'None']","[5, 13, 16]",Sensemaking
466,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Rotten_Tomatoes_Rating-quantitative-y<bin>",1607552922259,4.1,modify-y-z,"['Release_Date', 'Rotten_Tomatoes_Rating', 'None']","[5, 13, 16]",Sensemaking
