User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
1,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606858965729,0.1,same,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606858966697,0.1,modify-x-y,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
3,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606858981706,1.1,same,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
4,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606858981772,1.1,same,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
5,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606858981772,1.1,same,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
6,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606858981872,1.1,same,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
7,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606858981872,1.1,same,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
8,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1606858981888,1.1,modify-x-y,"['US_Gross', 'None', 'None']","[1, 16, 16]",Foraging
9,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606858981938,0.1,same,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
10,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606858982086,0.1,same,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
11,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606858982172,0.1,same,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
12,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606858982255,0.1,modify-y,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
15,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1606858986738,0.1,same,"['None', 'Release_Date', 'None']","[16, 5, 16]",Sensemaking
16,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1606858986755,0.1,same,"['None', 'Release_Date', 'None']","[16, 5, 16]",Sensemaking
