User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
1,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185278657,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185278673,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
3,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185278674,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
4,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185278723,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
5,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185278724,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185278740,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
7,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185279208,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
8,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185279307,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
9,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185279307,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
10,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185279323,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
11,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185279773,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
12,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1603185279890,0.1,mouse,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
15,mouseover a related chart,"mark:tick;encoding:Release_Date-nominal-row,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185285523,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Release_Date']","[13, 0, 5]",Foraging
16,mouseout a related chart,"mark:tick;encoding:Release_Date-nominal-row,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185285573,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Release_Date']","[13, 0, 5]",Foraging
19,mouseover on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185310357,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
20,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315757,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
21,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315774,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
22,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315791,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
23,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315807,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
24,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315823,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
25,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315841,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
26,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315857,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
27,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315873,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
28,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315891,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
29,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315907,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
30,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315923,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
31,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315940,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
32,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315957,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
33,scroll on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185315973,0.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
34,mouseout on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185316607,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
35,mouseover on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185316607,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
36,mouseout on the specified chart,"mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185316623,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'None']","[13, 0, 16]",Sensemaking
46,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185316941,3.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
49,mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185316974,3.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
50,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185316975,3.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
54,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318007,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
55,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318024,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
56,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318041,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
57,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318058,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
58,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318074,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
59,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318091,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
60,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318107,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
61,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318123,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
62,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318140,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
63,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318157,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
64,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318173,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
65,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318190,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
66,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318207,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
67,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185318224,3.1,configuring,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
68,mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185319440,3.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Creative_Type']","[13, 0, 11]",Foraging
69,mouseover a related chart,"mark:tick;encoding:Release_Date-nominal-row,Rotten_Tomatoes_Rating-quantitative-x,Title-nominal-y",1603185319457,0.1,mouse,"['Rotten_Tomatoes_Rating', 'Title', 'Release_Date']","[13, 0, 5]",Foraging
