User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
9,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1607348164925,0.1,same,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
10,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1607348165759,0.1,modify-x-y,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
13,mouseover on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1607348174858,1.1,modify-y,"['Release_Date', 'None', 'None']","[5, 16, 16]",Sensemaking
28,mouseover a related chart,"mark:point;encoding:Director-nominal-y,Release_Date-nominal-x",1607348175491,1.1,modify-y,"['Release_Date', 'Director', 'None']","[5, 12, 16]",Foraging
82,mouseover a related chart,"mark:tick;encoding:IMDB_Votes-quantitative-y,Release_Date-nominal-x",1607348183539,1.1,same,"['Release_Date', 'IMDB_Votes', 'None']","[5, 15, 16]",Foraging
89,mouseover a related chart,"mark:tick;encoding:IMDB_Votes-quantitative-y,Release_Date-nominal-x",1607348184506,1.1,modify-y,"['Release_Date', 'IMDB_Votes', 'None']","[5, 15, 16]",Foraging
149,mouseover a related chart,"mark:tick;encoding:Production_Budget-quantitative-y,Release_Date-nominal-x",1607348198371,2.1,same,"['Release_Date', 'Production_Budget', 'None']","[5, 4, 16]",Foraging
151,mouseover a related chart,"mark:tick;encoding:Production_Budget-quantitative-y,Release_Date-nominal-x",1607348199437,2.1,same,"['Release_Date', 'Production_Budget', 'None']","[5, 4, 16]",Foraging
157,specified chart,"mark:tick;encoding:Production_Budget-quantitative-y,Release_Date-nominal-x",1607348200516,2.1,modify-x-y-z,"['Release_Date', 'Production_Budget', 'None']","[5, 4, 16]",Sensemaking
161,mouseover a related chart,"mark:point;encoding:IMDB_Votes-quantitative-size,Production_Budget-quantitative-x<bin>,Release_Date-nominal-y",1607348202650,2.1,modify-x-y-z,"['Production_Budget', 'Release_Date', 'IMDB_Votes']","[4, 5, 15]",Foraging
289,mouseover a related chart,"mark:point;encoding:Production_Budget-quantitative-size,Release_Date-nominal-x,US_DVD_Sales-quantitative-y<bin>",1607348215235,2.1,modify-y,"['Release_Date', 'US_DVD_Sales', 'Production_Budget']","[5, 3, 4]",Foraging
338,mouseover a related chart,"mark:point;encoding:Distributor-nominal-y,Production_Budget-quantitative-size,Release_Date-nominal-x",1607348220451,3.1,same,"['Release_Date', 'Distributor', 'Production_Budget']","[5, 8, 4]",Foraging
399,mouseout a related chart,"mark:point;encoding:Distributor-nominal-y,Production_Budget-quantitative-size,Release_Date-nominal-x",1607348224200,3.1,same,"['Release_Date', 'Distributor', 'Production_Budget']","[5, 8, 4]",Foraging
403,scroll on a related chart,"mark:point;encoding:Distributor-nominal-y,Production_Budget-quantitative-size,Release_Date-nominal-x",1607348225151,3.1,same,"['Release_Date', 'Distributor', 'Production_Budget']","[5, 8, 4]",Foraging
448,mouseout a related chart,"mark:point;encoding:Distributor-nominal-y,Production_Budget-quantitative-size,Release_Date-nominal-x",1607348227216,3.1,modify-x-y-z,"['Release_Date', 'Distributor', 'Production_Budget']","[5, 8, 4]",Foraging
454,mouseover a related chart,"mark:tick;encoding:Director-nominal-y,Production_Budget-quantitative-x",1607348232727,1.1,same,"['Production_Budget', 'Director', 'None']","[4, 12, 16]",Foraging
527,mouseover a related chart,"mark:tick;encoding:Director-nominal-y,Production_Budget-quantitative-x",1607348252464,1.1,modify-x-y,"['Production_Budget', 'Director', 'None']","[4, 12, 16]",Foraging
590,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-y",1607348262245,2.1,same,"['IMDB_Rating', 'Production_Budget', 'None']","[14, 4, 16]",Foraging
593,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-y",1607348262945,2.1,same,"['IMDB_Rating', 'Production_Budget', 'None']","[14, 4, 16]",Foraging
596,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-y",1607348263712,2.1,same,"['IMDB_Rating', 'Production_Budget', 'None']","[14, 4, 16]",Foraging
597,mouseout a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Production_Budget-quantitative-y",1607348264212,2.1,same,"['IMDB_Rating', 'Production_Budget', 'None']","[14, 4, 16]",Foraging
