User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
13,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y,Source-nominal-color",1599167070451,1.1,same,"['None', 'Release_Date', 'Source']","[16, 5, 9]",Foraging
18,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y,Source-nominal-color",1599167071765,1.1,same,"['None', 'Release_Date', 'Source']","[16, 5, 9]",Foraging
19,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y,Source-nominal-color",1599167071766,1.1,same,"['None', 'Release_Date', 'Source']","[16, 5, 9]",Foraging
20,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y,Source-nominal-color",1599167071782,1.1,modify-x-z,"['None', 'Release_Date', 'Source']","[16, 5, 9]",Foraging
39,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167077798,0.1,same,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
40,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167077897,0.1,same,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
41,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167077898,0.1,same,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
42,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167077930,0.1,same,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
43,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167085346,0.1,same,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
44,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167085497,0.1,modify-z,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
49,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167092128,1.1,same,"['US_DVD_Sales', 'Release_Date', 'Creative_Type']","[3, 5, 11]",Foraging
50,mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167092145,1.1,modify-z,"['US_DVD_Sales', 'Release_Date', 'Creative_Type']","[3, 5, 11]",Foraging
51,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167092262,0.1,same,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
52,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167092362,0.1,modify-z,"['US_DVD_Sales', 'Release_Date', 'None']","[3, 5, 16]",Sensemaking
53,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167100294,1.1,same,"['US_DVD_Sales', 'Release_Date', 'Creative_Type']","[3, 5, 11]",Foraging
54,mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,US_DVD_Sales-quantitative-x",1599167100343,1.1,modify-x-y-z,"['US_DVD_Sales', 'Release_Date', 'Creative_Type']","[3, 5, 11]",Foraging
57,mouseover on the specified chart,"mark:point;encoding:Release_Date-nominal-x,US_DVD_Sales-quantitative-y<bin>,US_Gross-quantitative-size",1599167104710,0.1,same,"['Release_Date', 'US_DVD_Sales', 'US_Gross']","[5, 3, 1]",Sensemaking
58,mouseout on the specified chart,"mark:point;encoding:Release_Date-nominal-x,US_DVD_Sales-quantitative-y<bin>,US_Gross-quantitative-size",1599167104743,0.1,same,"['Release_Date', 'US_DVD_Sales', 'US_Gross']","[5, 3, 1]",Sensemaking
