User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1600108702202,0.1,modify-y,"['None', 'Title', 'None']","[16, 0, 16]",Foraging
7,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1600108723866,1.1,same,"['None', 'Creative_Type', 'None']","[16, 11, 16]",Sensemaking
10,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1600108724717,1.1,same,"['None', 'Creative_Type', 'None']","[16, 11, 16]",Sensemaking
86,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1600108764661,1.1,same,"['None', 'Creative_Type', 'None']","[16, 11, 16]",Sensemaking
87,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1600108765760,1.1,modify-z,"['None', 'Creative_Type', 'None']","[16, 11, 16]",Sensemaking
130,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Release_Date-nominal-row",1600108767053,4.1,same,"['None', 'Creative_Type', 'Release_Date']","[16, 11, 5]",Foraging
135,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,Release_Date-nominal-row",1600108780051,4.1,modify-y-z,"['None', 'Creative_Type', 'Release_Date']","[16, 11, 5]",Foraging
144,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1600108806347,3.1,same,"['None', 'MPAA_Rating', 'None']","[16, 6, 16]",Sensemaking
145,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1600108806881,3.1,same,"['None', 'MPAA_Rating', 'None']","[16, 6, 16]",Sensemaking
148,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1600108814224,3.1,same,"['None', 'MPAA_Rating', 'None']","[16, 6, 16]",Sensemaking
149,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1600108815906,3.1,same,"['None', 'MPAA_Rating', 'None']","[16, 6, 16]",Sensemaking
152,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1600108819393,3.1,modify-x-y,"['None', 'MPAA_Rating', 'None']","[16, 6, 16]",Sensemaking
157,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Source-nominal-y",1600108829768,4.1,same,"['MPAA_Rating', 'Source', 'None']","[6, 9, 16]",Sensemaking
184,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Source-nominal-y",1600108831595,4.1,same,"['MPAA_Rating', 'Source', 'None']","[6, 9, 16]",Sensemaking
201,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Source-nominal-y",1600108832953,4.1,same,"['MPAA_Rating', 'Source', 'None']","[6, 9, 16]",Sensemaking
214,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Source-nominal-y",1600108834758,4.1,same,"['MPAA_Rating', 'Source', 'None']","[6, 9, 16]",Sensemaking
229,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Source-nominal-y",1600108835619,4.1,modify-y,"['MPAA_Rating', 'Source', 'None']","[6, 9, 16]",Sensemaking
235,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Release_Date-nominal-y",1600108852027,6.1,same,"['MPAA_Rating', 'Release_Date', 'None']","[6, 5, 16]",Sensemaking
237,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Release_Date-nominal-y",1600108869838,6.1,same,"['MPAA_Rating', 'Release_Date', 'None']","[6, 5, 16]",Sensemaking
238,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,MPAA_Rating-nominal-x,Release_Date-nominal-y",1600108882834,6.1,modify-x,"['MPAA_Rating', 'Release_Date', 'None']","[6, 5, 16]",Sensemaking
246,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-y,Source-nominal-x",1600108898035,4.1,same,"['Source', 'Release_Date', 'None']","[9, 5, 16]",Sensemaking
255,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-y,Source-nominal-x",1600108900115,4.1,same,"['Source', 'Release_Date', 'None']","[9, 5, 16]",Sensemaking
258,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-y,Source-nominal-x",1600108901481,4.1,modify-x,"['Source', 'Release_Date', 'None']","[9, 5, 16]",Sensemaking
323,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,US_Gross-quantitative-x",1600108963028,4.1,same,"['US_Gross', 'Release_Date', 'None']","[1, 5, 16]",Sensemaking
