User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
0,main chart changed because of clicking a field,mark:tick;encoding:Worldwide_Gross-quantitative-x,1600108014351,6.1,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging,p3
1,main chart changed because of clicking a field,"mark:tick;encoding:Source-nominal-y,Worldwide_Gross-quantitative-x",1600108028716,8.877777777777778,modify-1,"['None', 'Source', 'Worldwide_Gross']","[2, 9, 16]",Foraging,p3
2,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108031882,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Foraging,p3
3,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108043563,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
4,scroll on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108047150,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
52,scroll on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108048551,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
108,scroll on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108050771,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
118,scroll on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108051671,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
140,scroll on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108052539,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
149,scroll on the specified chart,"mark:point;encoding:Major_Genre-nominal-x,Source-nominal-y,Worldwide_Gross-quantitative-size<aggregate>mean",1600108059880,12.766666666666666,same,"['Major_Genre', 'Source', 'Worldwide_Gross']","[2, 9, 10]",Sensemaking,p3
