User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604941866254,0.1699128880947062,modify,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
92,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1604941894616,0.1559526468617377,modify,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
95,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1604941899375,0.4249385749385749,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
125,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1604941900666,0.4249385749385749,modify,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
163,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941901640,0.4677127540763904,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
167,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941905578,0.4677127540763904,modify,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
172,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604941906643,0.1428300201027473,modify,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
201,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941910727,0.4677127540763904,modify,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
204,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604941911399,0.1699128880947062,modify,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
291,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941913567,0.4677127540763904,modify,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
329,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1604941916568,0.4249385749385749,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
336,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1604941917266,0.4249385749385749,modify,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
375,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941918116,0.4677127540763904,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
389,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941920674,0.4677127540763904,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
391,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941921915,0.4677127540763904,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
394,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941923310,0.4677127540763904,modify,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
403,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1604941928034,0.7926513290149654,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking
405,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1604941929959,0.7926513290149654,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking
