User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1605773178207,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
2,clicked on a field,add Creative_Type,1605773191166,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
3,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773192421,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
4,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773200802,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
6,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773205110,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
9,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773227852,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
12,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773236733,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
15,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773237300,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
16,clicked on a field,remove Creative_Type,1605773248097,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
17,clicked on a field,add Creative_Type,1605773254693,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
18,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1605773255377,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
19,clicked on a field,add Source,1605773260349,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
20,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605773261016,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging
21,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605773285952,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking
23,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1605773292849,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking
