User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
1,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1604967140709,0.1538720538720538,modify-1,"['None', 'None', 'Release_Date']","[16, 16, 5]",Foraging
9,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1604967141777,0.1404040404040404,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging
16,mouseout a related chart,mark:tick;encoding:Running_Time_min-quantitative-x,1604967142628,0.1101010101010101,modify-1,"['None', 'None', 'Running_Time_min']","[16, 16, 7]",Foraging
21,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1604967144980,0.1538720538720538,modify-1,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
22,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1604967145114,0.1404040404040404,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging
58,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604967149120,0.2228956228956229,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
71,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604967151854,0.2228956228956229,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
81,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604967152855,0.2228956228956229,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
84,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604967157521,0.2228956228956229,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Sensemaking
87,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604967159596,0.2228956228956229,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
107,mouseover a related chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1604967162733,0.1488215488215488,modify-1,"['None', 'None', 'Rotten_Tomatoes_Rating']","[16, 16, 13]",Foraging
120,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1604967163868,0.1185185185185185,same,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
144,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1604967165436,0.1185185185185185,modify-1,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
198,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Release_Date-nominal-y",1604967166738,0.1538720538720538,modify-1,"['None', 'None', 'Release_Date']","[16, 16, 5]",Foraging
238,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604967168389,0.1084175084175084,modify-1,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
246,added chart to bookmark,mark:tick;encoding:Worldwide_Gross-quantitative-x,1604967170702,0.3760942760942761,modify-1,"['None', 'None', 'Worldwide_Gross']","[16, 16, 2]",Sensemaking
247,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1604967171873,0.1858585858585858,modify-1,"['None', 'None', 'US_Gross']","[16, 16, 1]",Foraging
260,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604967175908,0.1909090909090909,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging
262,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604967179535,0.1909090909090909,modify-2,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Sensemaking
326,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y,MPAA_Rating-nominal-color,Release_Date-nominal-row",1604967192232,0.2447811447811448,modify-1,"['Creative_Type', 'None', 'Release_Date']","[11, 16, 5]",Foraging
341,main chart changed because of clicking a field,"mark:tick;encoding:Creative_Type-nominal-y,Worldwide_Gross-quantitative-x",1604967193529,0.467003367003367,modify-1,"['Creative_Type', 'None', 'Worldwide_Gross']","[11, 16, 2]",Foraging
344,main chart changed because of clicking a field,mark:tick;encoding:Worldwide_Gross-quantitative-x,1604967195403,0.3760942760942761,modify-2,"['None', 'None', 'Worldwide_Gross']","[16, 16, 2]",Foraging
348,mouseover a related chart,"mark:tick;encoding:Director-nominal-y,Release_Date-nominal-row,Worldwide_Gross-quantitative-x",1604967202209,0.4484848484848485,same,"['Director', 'Release_Date', 'Worldwide_Gross']","[12, 5, 2]",Foraging
349,mouseout a related chart,"mark:tick;encoding:Director-nominal-y,Release_Date-nominal-row,Worldwide_Gross-quantitative-x",1604967205411,0.4484848484848485,same,"['Director', 'Release_Date', 'Worldwide_Gross']","[12, 5, 2]",Foraging
371,mouseout a related chart,"mark:tick;encoding:Director-nominal-y,Release_Date-nominal-row,Worldwide_Gross-quantitative-x",1604967206664,0.4484848484848485,modify-2,"['Director', 'Release_Date', 'Worldwide_Gross']","[12, 5, 2]",Foraging
387,mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Distributor-nominal-y,Worldwide_Gross-quantitative-x",1604967208017,0.4956228956228956,same,"['Creative_Type', 'Distributor', 'Worldwide_Gross']","[11, 8, 2]",Foraging
393,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Distributor-nominal-y,Worldwide_Gross-quantitative-x",1604967208850,0.4956228956228956,modify-2,"['Creative_Type', 'Distributor', 'Worldwide_Gross']","[11, 8, 2]",Foraging
467,main chart changed because of clicking a field,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967214640,0.42996632996633,modify-1,"['None', 'Release_Date', 'Worldwide_Gross']","[16, 5, 2]",Foraging
468,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967215079,0.5208754208754209,modify-1,"['Creative_Type', 'Release_Date', 'Worldwide_Gross']","[11, 5, 2]",Foraging
470,mouseover a related chart,"mark:tick;encoding:MPAA_Rating-nominal-color,Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967222898,0.4703703703703704,modify-1,"['MPAA_Rating', 'Release_Date', 'Worldwide_Gross']","[6, 5, 2]",Foraging
472,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967228971,0.42996632996633,same,"['None', 'Release_Date', 'Worldwide_Gross']","[16, 5, 2]",Sensemaking
474,added chart to bookmark,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967230196,0.42996632996633,same,"['None', 'Release_Date', 'Worldwide_Gross']","[16, 5, 2]",Sensemaking
475,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967231207,0.42996632996633,same,"['None', 'Release_Date', 'Worldwide_Gross']","[16, 5, 2]",Sensemaking
486,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Worldwide_Gross-quantitative-x",1604967240050,0.42996632996633,modify-1,"['None', 'Release_Date', 'Worldwide_Gross']","[16, 5, 2]",Sensemaking
