User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
1,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604690786613,0.1084175084175084,modify-1,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
6,main chart changed because of clicking a field,mark:tick;encoding:Production_Budget-quantitative-x,1604690813644,0.1319865319865319,modify-2,"['None', 'None', 'Production_Budget']","[16, 16, 4]",Foraging
8,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-x<aggregate>count,Production_Budget-quantitative-y<aggregate>mean,Worldwide_Gross-quantitative-size<aggregate>mean",1604690823072,0.4080808080808081,modify-2,"['None', 'Production_Budget', 'Worldwide_Gross']","[16, 4, 2]",Foraging
9,mouseover a related chart,"mark:point;encoding:Distributor-nominal-x,MPAA_Rating-nominal-y,Worldwide_Gross-quantitative-size",1604690824824,0.4451178451178451,modify-2,"['Distributor', 'MPAA_Rating', 'Worldwide_Gross']","[8, 6, 2]",Foraging
11,mouseover on the specified chart,"mark:point;encoding:-quantitative-x<aggregate>count,Production_Budget-quantitative-y<aggregate>mean,Worldwide_Gross-quantitative-size<aggregate>mean",1604690830359,0.4080808080808081,modify-1,"['None', 'Production_Budget', 'Worldwide_Gross']","[16, 4, 2]",Sensemaking
16,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690836071,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Foraging
17,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690841661,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
18,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690859412,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
41,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690860628,0.530976430976431,modify-3,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
43,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690864760,0.3760942760942761,same,"['Creative_Type', 'Major_Genre', 'Source']","[11, 10, 9]",Foraging
47,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-y,Source-nominal-color",1604690868632,0.3760942760942761,modify-3,"['Creative_Type', 'Major_Genre', 'Source']","[11, 10, 9]",Foraging
51,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690875022,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
56,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690880886,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
60,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690883259,0.530976430976431,modify-1,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Foraging
62,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-x<aggregate>count,Production_Budget-quantitative-y<aggregate>mean,Worldwide_Gross-quantitative-size<aggregate>mean",1604690888543,0.4080808080808081,modify-1,"['None', 'Production_Budget', 'Worldwide_Gross']","[16, 4, 2]",Foraging
64,main chart changed because of clicking a field,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690894062,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Foraging
65,mouseover on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690896477,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
66,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690897055,0.530976430976431,same,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
68,mouseout on the specified chart,"mark:point;encoding:Major_Genre-nominal-y,Production_Budget-quantitative-size,Worldwide_Gross-quantitative-x<bin>",1604690901686,0.530976430976431,modify-3,"['Major_Genre', 'Production_Budget', 'Worldwide_Gross']","[10, 4, 2]",Sensemaking
85,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-color,Title-nominal-y",1604690902523,0.3222222222222222,same,"['Creative_Type', 'Major_Genre', 'Title']","[11, 10, 0]",Foraging
96,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,Major_Genre-nominal-color,Title-nominal-y",1604690903962,0.3222222222222222,modify-3,"['Creative_Type', 'Major_Genre', 'Title']","[11, 10, 0]",Foraging
