User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606228257651,1.0166666666666666,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
1,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606228258271,1.0166666666666666,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
4,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1606228261018,1.0166666666666666,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
8,added chart to bookmark,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1606228262723,2.9333333333333336,same,"['None', 'None', 'Release_Date']","[5, 16, 16]",Sensemaking
9,mouseover a related chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1606228262818,2.9333333333333336,same,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
11,mouseover a related chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1606228284815,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
17,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1606228287412,0.8777777777777778,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
25,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1606228288603,2.9611111111111112,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Sensemaking
26,mouseover a related chart,mark:tick;encoding:Running_Time_min-quantitative-x,1606228288811,1.8777777777777775,same,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
29,mouseout a related chart,mark:tick;encoding:Running_Time_min-quantitative-x,1606228290143,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
33,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1606228295655,0.8777777777777778,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
36,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1606228313640,0.8777777777777778,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
45,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1606228334438,2.9611111111111112,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging
50,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1606228352074,0.8777777777777778,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
59,mouseout a related chart,mark:tick;encoding:Running_Time_min-quantitative-x,1606228352722,1.8777777777777775,same,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
62,mouseover a related chart,mark:tick;encoding:Running_Time_min-quantitative-x,1606228355519,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
65,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1606228356352,2.9611111111111112,modify-1,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging
68,clicked on a field,add Running_Time_min,1606228358468,1.8777777777777775,same,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
69,main chart changed because of clicking a field,mark:tick;encoding:Running_Time_min-quantitative-x,1606228358706,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
70,clicked on a field,add Release_Date,1606228361080,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
71,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228361207,4.711111111111111,modify-1,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Foraging
72,clicked on a field,remove Release_Date,1606228361752,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
73,main chart changed because of clicking a field,mark:tick;encoding:Running_Time_min-quantitative-x,1606228361850,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
74,clicked on a field,add Release_Date,1606228363742,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
75,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228363927,4.711111111111111,modify-2,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Foraging
76,mouseover a related chart,"mark:point;encoding:Director-nominal-x,Release_Date-nominal-color,Title-nominal-y",1606228365070,4.627777777777778,same,"['Director', 'Release_Date', 'Title']","[0, 5, 12]",Foraging
77,mouseout a related chart,"mark:point;encoding:Director-nominal-x,Release_Date-nominal-color,Title-nominal-y",1606228365897,4.627777777777778,modify-2,"['Director', 'Release_Date', 'Title']","[0, 5, 12]",Foraging
78,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228374930,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
79,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228375604,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
81,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228383778,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
84,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228393536,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
87,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228396300,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
88,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Release_Date-nominal-x,Running_Time_min-quantitative-y<bin>",1606228399084,4.711111111111111,modify-2,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
89,mouseover a related chart,"mark:point;encoding:Director-nominal-x,Release_Date-nominal-color,Title-nominal-y",1606228425559,4.627777777777778,same,"['Director', 'Release_Date', 'Title']","[0, 5, 12]",Foraging
92,mouseout a related chart,"mark:point;encoding:Director-nominal-x,Release_Date-nominal-color,Title-nominal-y",1606228426424,4.627777777777778,same,"['Director', 'Release_Date', 'Title']","[0, 5, 12]",Foraging
94,mouseout a related chart,"mark:point;encoding:Director-nominal-x,Release_Date-nominal-color,Title-nominal-y",1606228427024,4.627777777777778,same,"['Director', 'Release_Date', 'Title']","[0, 5, 12]",Foraging
95,mouseover a related chart,"mark:point;encoding:Director-nominal-x,Release_Date-nominal-color,Title-nominal-y",1606228427640,4.627777777777778,modify-1,"['Director', 'Release_Date', 'Title']","[0, 5, 12]",Foraging
106,scroll on a related chart,"mark:point;encoding:Director-nominal-x,Distributor-nominal-y,Release_Date-nominal-color",1606228429724,4.488888888888889,same,"['Director', 'Distributor', 'Release_Date']","[5, 8, 12]",Foraging
126,mouseout a related chart,"mark:point;encoding:Director-nominal-x,Distributor-nominal-y,Release_Date-nominal-color",1606228430237,4.488888888888889,modify-2,"['Director', 'Distributor', 'Release_Date']","[5, 8, 12]",Foraging
129,mouseover a related chart,"mark:point;encoding:Release_Date-nominal-x,Source-nominal-color,Title-nominal-y",1606228432036,6.655555555555556,modify-2,"['Release_Date', 'Source', 'Title']","[0, 5, 9]",Foraging
135,clicked on a field,remove Release_Date,1606228438587,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
136,main chart changed because of clicking a field,mark:tick;encoding:Running_Time_min-quantitative-x,1606228438829,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
137,clicked on a field,add Source,1606228442770,2.9055555555555554,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
138,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228442882,4.683333333333334,modify-2,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Foraging
139,mouseover a related chart,"mark:point;encoding:MPAA_Rating-nominal-x,Source-nominal-color,Title-nominal-y",1606228445154,6.683333333333334,modify-1,"['MPAA_Rating', 'Source', 'Title']","[0, 6, 9]",Foraging
146,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-x,MPAA_Rating-nominal-y,Source-nominal-color",1606228447093,6.711111111111111,modify-2,"['Creative_Type', 'MPAA_Rating', 'Source']","[6, 9, 11]",Foraging
149,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228450045,4.683333333333334,same,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Sensemaking
150,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228450766,4.683333333333334,same,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Sensemaking
189,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228452734,4.683333333333334,same,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Sensemaking
232,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228454383,4.683333333333334,same,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Sensemaking
251,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228454875,4.683333333333334,same,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Sensemaking
252,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Running_Time_min-quantitative-x<bin>,Source-nominal-y",1606228460378,4.683333333333334,same,"['None', 'Running_Time_min', 'Source']","[7, 9, 16]",Sensemaking
