User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
0,clicked on a field,add Title,1604962380171,1.0166666666666666,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
1,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604962380258,1.0166666666666666,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
2,clicked on a field,add Source,1604962399270,1.905555555555556,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
3,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Source-nominal-x,Title-nominal-y",1604962399405,2.8222222222222224,same,"['None', 'Source', 'Title']","[0, 9, 16]",Foraging
4,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Source-nominal-x,Title-nominal-y",1604962403647,2.8222222222222224,same,"['None', 'Source', 'Title']","[0, 9, 16]",Sensemaking
5,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Source-nominal-x,Title-nominal-y",1604962494360,2.8222222222222224,same,"['None', 'Source', 'Title']","[0, 9, 16]",Sensemaking
8,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Source-nominal-x,Title-nominal-y",1604962495811,2.8222222222222224,same,"['None', 'Source', 'Title']","[0, 9, 16]",Sensemaking
11,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Source-nominal-x,Title-nominal-y",1604962500061,2.8222222222222224,modify-2,"['None', 'Source', 'Title']","[0, 9, 16]",Sensemaking
12,clicked on a field,add Worldwide_Gross,1604962502817,3.0166666666666666,modify-2,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
13,main chart changed because of clicking a field,"mark:point;encoding:Source-nominal-x,Title-nominal-y,Worldwide_Gross-quantitative-size",1604962502956,5.738888888888889,same,"['Source', 'Title', 'Worldwide_Gross']","[0, 2, 9]",Foraging
14,mouseover on the specified chart,"mark:point;encoding:Source-nominal-x,Title-nominal-y,Worldwide_Gross-quantitative-size",1604962508066,5.738888888888889,same,"['Source', 'Title', 'Worldwide_Gross']","[0, 2, 9]",Sensemaking
15,mouseout on the specified chart,"mark:point;encoding:Source-nominal-x,Title-nominal-y,Worldwide_Gross-quantitative-size",1604962515951,5.738888888888889,same,"['Source', 'Title', 'Worldwide_Gross']","[0, 2, 9]",Sensemaking
16,scroll on the specified chart,"mark:point;encoding:Source-nominal-x,Title-nominal-y,Worldwide_Gross-quantitative-size",1604962515954,5.738888888888889,modify-1,"['Source', 'Title', 'Worldwide_Gross']","[0, 2, 9]",Sensemaking
17,mouseover a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Title-nominal-y,Worldwide_Gross-quantitative-x",1604962517167,6.877777777777778,same,"['Creative_Type', 'Title', 'Worldwide_Gross']","[0, 2, 11]",Foraging
18,scroll on a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Title-nominal-y,Worldwide_Gross-quantitative-x",1604962517250,6.877777777777778,same,"['Creative_Type', 'Title', 'Worldwide_Gross']","[0, 2, 11]",Foraging
38,mouseout a related chart,"mark:tick;encoding:Creative_Type-nominal-color,Title-nominal-y,Worldwide_Gross-quantitative-x",1604962518033,6.877777777777778,modify-1,"['Creative_Type', 'Title', 'Worldwide_Gross']","[0, 2, 11]",Foraging
39,mouseover on the specified chart,"mark:point;encoding:Source-nominal-x,Title-nominal-y,Worldwide_Gross-quantitative-size",1604962522866,5.738888888888889,modify-2,"['Source', 'Title', 'Worldwide_Gross']","[0, 2, 9]",Sensemaking
43,clicked on a field,remove Title,1604962524787,1.0166666666666666,modify-2,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
44,main chart changed because of clicking a field,"mark:tick;encoding:Source-nominal-y,Worldwide_Gross-quantitative-x",1604962524925,4.822222222222222,modify-1,"['None', 'Source', 'Worldwide_Gross']","[2, 9, 16]",Foraging
45,clicked on a field,remove Source,1604962526778,1.905555555555556,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
46,main chart changed because of clicking a field,mark:tick;encoding:Worldwide_Gross-quantitative-x,1604962526908,3.0166666666666666,same,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
47,clicked on a field,remove Worldwide_Gross,1604962528075,3.0166666666666666,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
48,clicked on a field,add Running_Time_min,1604962530391,1.8777777777777775,same,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
49,main chart changed because of clicking a field,mark:tick;encoding:Running_Time_min-quantitative-x,1604962530510,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
50,clicked on a field,add Release_Date,1604962532455,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
51,main chart changed because of clicking a field,"mark:tick;encoding:Release_Date-nominal-y,Running_Time_min-quantitative-x",1604962532522,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Foraging
52,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Running_Time_min-quantitative-x",1604962545255,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
55,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Running_Time_min-quantitative-x",1604962563358,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
57,mouseout on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Running_Time_min-quantitative-x",1604962564052,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
58,added chart to bookmark,"mark:tick;encoding:Release_Date-nominal-y,Running_Time_min-quantitative-x",1604962564517,4.711111111111111,same,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
59,mouseover on the specified chart,"mark:tick;encoding:Release_Date-nominal-y,Running_Time_min-quantitative-x",1604962565043,4.711111111111111,modify-1,"['None', 'Release_Date', 'Running_Time_min']","[5, 7, 16]",Sensemaking
63,clicked on a field,remove Release_Date,1604962568614,2.9333333333333336,modify-1,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
64,main chart changed because of clicking a field,mark:tick;encoding:Running_Time_min-quantitative-x,1604962568755,1.8777777777777775,same,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
65,clicked on a field,remove Running_Time_min,1604962570736,1.8777777777777775,modify-1,"['None', 'None', 'Running_Time_min']","[7, 16, 16]",Foraging
66,clicked on a field,add Production_Budget,1604962572111,1.85,same,"['None', 'None', 'Production_Budget']","[4, 16, 16]",Foraging
67,main chart changed because of clicking a field,mark:tick;encoding:Production_Budget-quantitative-x,1604962572283,1.85,modify-1,"['None', 'None', 'Production_Budget']","[4, 16, 16]",Foraging
68,clicked on a field,add Source,1604962574135,1.905555555555556,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
69,main chart changed because of clicking a field,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962574242,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Foraging
70,mouseover on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962639846,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
73,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962645834,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
101,mouseout on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962646617,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
103,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962647616,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
112,mouseout on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962648171,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
114,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962648465,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
141,mouseout on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962649732,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
145,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962653669,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
152,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962654349,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
167,mouseout on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962657650,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
168,mouseover on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962658170,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
169,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962658570,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
199,scroll on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962659867,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
227,mouseout on the specified chart,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962661458,3.655555555555556,same,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Sensemaking
228,main chart changed because of clicking a field,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962663142,3.655555555555556,modify-2,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Foraging
229,clicked on a field,add Worldwide_Gross,1604962663783,3.0166666666666666,modify-2,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
230,main chart changed because of clicking a field,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962663860,6.572222222222223,modify-2,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Foraging
231,clicked on a field,remove Worldwide_Gross,1604962664766,3.0166666666666666,modify-2,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
232,main chart changed because of clicking a field,"mark:tick;encoding:Production_Budget-quantitative-x,Source-nominal-y",1604962664840,3.655555555555556,modify-2,"['None', 'Production_Budget', 'Source']","[4, 9, 16]",Foraging
233,clicked on a field,add Worldwide_Gross,1604962670262,3.0166666666666666,modify-2,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
234,main chart changed because of clicking a field,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962670393,6.572222222222223,same,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Foraging
235,mouseover on the specified chart,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962677348,6.572222222222223,same,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Sensemaking
236,mouseout on the specified chart,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962685725,6.572222222222223,same,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Sensemaking
240,mouseout on the specified chart,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962688664,6.572222222222223,same,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Sensemaking
245,added chart to bookmark,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962689989,6.572222222222223,same,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Sensemaking
246,mouseover on the specified chart,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962758876,6.572222222222223,same,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Sensemaking
247,mouseout on the specified chart,"mark:point;encoding:Production_Budget-quantitative-size<aggregate>mean,Source-nominal-x,Worldwide_Gross-quantitative-y<bin>",1604962759659,6.572222222222223,modify-2,"['Production_Budget', 'Source', 'Worldwide_Gross']","[2, 4, 9]",Sensemaking
248,clicked on a field,remove Source,1604962763976,1.905555555555556,modify-2,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
249,main chart changed because of clicking a field,"mark:point;encoding:Production_Budget-quantitative-x,Worldwide_Gross-quantitative-y",1604962764397,4.766666666666667,modify-1,"['None', 'Production_Budget', 'Worldwide_Gross']","[2, 4, 16]",Foraging
250,clicked on a field,remove Production_Budget,1604962766386,1.85,modify-1,"['None', 'None', 'Production_Budget']","[4, 16, 16]",Foraging
251,main chart changed because of clicking a field,mark:tick;encoding:Worldwide_Gross-quantitative-x,1604962766544,3.0166666666666666,same,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
252,clicked on a field,remove Worldwide_Gross,1604962768825,3.0166666666666666,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging
253,clicked on a field,add US_DVD_Sales,1604962776056,1.6833333333333336,same,"['None', 'None', 'US_DVD_Sales']","[3, 16, 16]",Foraging
254,main chart changed because of clicking a field,mark:tick;encoding:US_DVD_Sales-quantitative-x,1604962776158,1.6833333333333336,modify-1,"['None', 'None', 'US_DVD_Sales']","[3, 16, 16]",Foraging
255,clicked on a field,add Major_Genre,1604962777506,1.988888888888889,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
256,main chart changed because of clicking a field,"mark:tick;encoding:Major_Genre-nominal-y,US_DVD_Sales-quantitative-x",1604962777556,3.5722222222222224,same,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Foraging
257,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,US_DVD_Sales-quantitative-x",1604962783196,3.5722222222222224,same,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Sensemaking
258,mouseout on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,US_DVD_Sales-quantitative-x",1604962784148,3.5722222222222224,same,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Sensemaking
261,mouseover on the specified chart,"mark:tick;encoding:Major_Genre-nominal-y,US_DVD_Sales-quantitative-x",1604962785832,3.5722222222222224,same,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Sensemaking
263,added chart to bookmark,"mark:tick;encoding:Major_Genre-nominal-y,US_DVD_Sales-quantitative-x",1604962787127,3.5722222222222224,modify-1,"['Major_Genre', 'None', 'US_DVD_Sales']","[3, 10, 16]",Sensemaking
264,mouseover a related chart,"mark:tick;encoding:MPAA_Rating-nominal-color,Major_Genre-nominal-y,US_DVD_Sales-quantitative-x",1604962808838,4.433333333333334,modify-2,"['MPAA_Rating', 'Major_Genre', 'US_DVD_Sales']","[3, 6, 10]",Foraging
270,clicked on a field,remove US_DVD_Sales,1604962810611,1.6833333333333336,modify-1,"['None', 'None', 'US_DVD_Sales']","[3, 16, 16]",Foraging
271,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604962810732,1.988888888888889,same,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
272,clicked on a field,remove Major_Genre,1604962811974,1.988888888888889,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
