User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
129,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602961062238,0.1385111591950344,modify,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Foraging
131,added chart to bookmark,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1602961063001,0.1490456018447973,modify,"['None', 'None', 'Release_Date']","[5, 16, 16]",Sensemaking
135,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602961068088,0.1385111591950344,same,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Sensemaking
137,specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,MPAA_Rating-nominal-y",1602961074164,0.1385111591950344,modify,"['MPAA_Rating', 'None', 'None']","[6, 16, 16]",Sensemaking
221,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,Distributor-nominal-y,MPAA_Rating-nominal-color",1602961106693,0.3857099320391308,modify,"['Creative_Type', 'Distributor', 'MPAA_Rating']","[6, 8, 11]",Foraging
240,mouseover a related chart,"mark:point;encoding:Director-nominal-x,Distributor-nominal-y,MPAA_Rating-nominal-color",1602961107762,0.4491807108971038,modify,"['Director', 'Distributor', 'MPAA_Rating']","[6, 8, 12]",Foraging
258,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-x,MPAA_Rating-nominal-y,Source-nominal-color",1602961109616,0.2640305163603856,modify,"['Creative_Type', 'MPAA_Rating', 'Source']","[6, 9, 11]",Foraging
283,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602961113261,0.14322473816272,modify,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
297,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602961119360,0.2285974054998527,modify,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
325,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602961122147,0.2820721462022166,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
334,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602961125817,0.2820721462022166,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
339,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602961127383,0.2820721462022166,modify,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
366,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602961130457,0.1603927305234714,modify,"['None', 'None', 'Source']","[9, 16, 16]",Foraging
379,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602961133063,0.1524487245908634,modify,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
384,mouseout a related chart,mark:tick;encoding:IMDB_Votes-quantitative-x,1602961135921,0.1071211613283353,modify,"['IMDB_Votes', 'None', 'None']","[15, 16, 16]",Foraging
389,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1602961136525,0.1524487245908634,modify,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging
395,mouseout a related chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1602961137978,0.1490456018447973,modify,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
399,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602961140216,0.14322473816272,modify,"['None', 'None', 'Title']","[0, 16, 16]",Foraging
400,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602961144143,0.1479383171304056,same,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
403,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602961150127,0.1479383171304056,modify,"['None', 'None', 'US_Gross']","[1, 16, 16]",Foraging
412,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602961171569,0.2285974054998527,same,"['Director', 'None', 'None']","[12, 16, 16]",Sensemaking
414,mouseover on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602961172338,0.2285974054998527,same,"['Director', 'None', 'None']","[12, 16, 16]",Sensemaking
463,mouseout on the specified chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602961178236,0.2285974054998527,modify,"['Director', 'None', 'None']","[12, 16, 16]",Sensemaking
473,mouseout a related chart,"mark:point;encoding:Director-nominal-x,Distributor-nominal-y,Release_Date-nominal-color",1602961179539,0.4597151535468666,modify,"['Director', 'Distributor', 'Release_Date']","[5, 8, 12]",Foraging
478,mouseover a related chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1602961188080,0.1490456018447973,modify,"['None', 'None', 'Release_Date']","[5, 16, 16]",Foraging
487,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602961189751,0.2820721462022166,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
488,added chart to bookmark,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602961190324,0.2820721462022166,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Sensemaking
495,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602961191255,0.2820721462022166,modify,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging
611,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602961212531,0.2285974054998527,same,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
626,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Director-nominal-y",1602961214285,0.2285974054998527,modify,"['Director', 'None', 'None']","[12, 16, 16]",Foraging
632,mouseout a related chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602961215638,0.1356870752445677,same,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Foraging
635,specified chart,mark:tick;encoding:Rotten_Tomatoes_Rating-quantitative-x,1602961216967,0.1356870752445677,modify,"['None', 'None', 'Rotten_Tomatoes_Rating']","[13, 16, 16]",Sensemaking
640,mouseover a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961222843,0.3781519519702557,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
643,mouseout a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961226768,0.3781519519702557,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
678,mouseout a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961228851,0.3781519519702557,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
680,mouseout a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961231196,0.3781519519702557,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
681,mouseover a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961233034,0.3781519519702557,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
687,mouseover a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961234223,0.3781519519702557,same,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
693,mouseout a related chart,"mark:point;encoding:Distributor-nominal-x,Rotten_Tomatoes_Rating-quantitative-size,Source-nominal-y",1602961235076,0.3781519519702557,modify,"['Distributor', 'Rotten_Tomatoes_Rating', 'Source']","[8, 9, 13]",Foraging
