User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
9,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602240992495,0.1591715976331361,same,"['None', 'None', 'Source']","[16, 16, 9]",Foraging
10,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602240992667,0.1591715976331361,same,"['None', 'None', 'Source']","[16, 16, 9]",Foraging
20,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602240994114,0.1591715976331361,modify-1,"['None', 'None', 'Source']","[16, 16, 9]",Foraging
25,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602240996255,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
30,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602240997521,0.1059171597633136,modify-1,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
32,main chart changed because of clicking a field,mark:tick;encoding:IMDB_Rating-quantitative-x,1602241005121,0.1828402366863905,modify-2,"['IMDB_Rating', 'None', 'None']","[14, 16, 16]",Foraging
38,mouseover a related chart,"mark:tick;encoding:Distributor-nominal-y,IMDB_Rating-quantitative-x",1602241009071,0.2282051282051282,modify-2,"['Distributor', 'IMDB_Rating', 'None']","[8, 14, 16]",Foraging
47,main chart changed because of clicking a field,mark:tick;encoding:IMDB_Rating-quantitative-x,1602241011335,0.1828402366863905,modify-2,"['IMDB_Rating', 'None', 'None']","[14, 16, 16]",Foraging
52,mouseover a related chart,"mark:tick;encoding:Director-nominal-y,IMDB_Rating-quantitative-x",1602241012604,0.2045364891518737,same,"['Director', 'IMDB_Rating', 'None']","[12, 14, 16]",Foraging
54,mouseover a related chart,"mark:tick;encoding:Director-nominal-y,IMDB_Rating-quantitative-x",1602241024187,0.2045364891518737,modify-1,"['Director', 'IMDB_Rating', 'None']","[12, 14, 16]",Foraging
61,mouseout a related chart,"mark:tick;encoding:IMDB_Rating-quantitative-x,Release_Date-nominal-y",1602241032670,0.275542406311637,modify-1,"['IMDB_Rating', 'None', 'Release_Date']","[14, 16, 5]",Foraging
65,main chart changed because of clicking a field,"mark:point;encoding:IMDB_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1602241040534,0.3090729783037476,modify-2,"['IMDB_Rating', 'None', 'Worldwide_Gross']","[14, 16, 2]",Foraging
66,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,IMDB_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1602241042303,0.3919132149901381,modify-2,"['Creative_Type', 'IMDB_Rating', 'Worldwide_Gross']","[11, 14, 2]",Foraging
75,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1602241046804,0.3090729783037476,same,"['IMDB_Rating', 'None', 'Worldwide_Gross']","[14, 16, 2]",Sensemaking
82,mouseout on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1602241063585,0.3090729783037476,same,"['IMDB_Rating', 'None', 'Worldwide_Gross']","[14, 16, 2]",Sensemaking
85,added chart to bookmark,"mark:point;encoding:IMDB_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1602241064321,0.3090729783037476,same,"['IMDB_Rating', 'None', 'Worldwide_Gross']","[14, 16, 2]",Sensemaking
86,mouseover on the specified chart,"mark:point;encoding:IMDB_Rating-quantitative-x,Worldwide_Gross-quantitative-y",1602241064836,0.3090729783037476,modify-2,"['IMDB_Rating', 'None', 'Worldwide_Gross']","[14, 16, 2]",Sensemaking
92,mouseover a related chart,"mark:point;encoding:IMDB_Rating-quantitative-x,MPAA_Rating-nominal-color,Worldwide_Gross-quantitative-y",1602241070551,0.3682445759368836,modify-1,"['IMDB_Rating', 'MPAA_Rating', 'Worldwide_Gross']","[14, 6, 2]",Foraging
