User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700659908,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
4,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700659925,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
5,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700659975,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700659992,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
8,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700660875,0.1059171597633136,modify-1,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
9,mouseover a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602700685878,0.1729783037475345,same,"['None', 'None', 'US_Gross']","[16, 16, 1]",Foraging
10,mouseout a related chart,mark:tick;encoding:US_Gross-quantitative-x,1602700685895,0.1729783037475345,modify-1,"['None', 'None', 'US_Gross']","[16, 16, 1]",Foraging
11,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700685911,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
12,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700686077,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
13,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700686211,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
14,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602700686227,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
