User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604691472602,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
3,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604691488760,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
4,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604691488861,0.1059171597633136,same,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
6,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604691488877,0.1059171597633136,modify-1,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
27,specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691502985,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
51,mouseover on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691511900,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
52,mouseout on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691511917,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
55,mouseover on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691516248,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
56,mouseout on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691516264,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
57,mouseover on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691526427,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
58,mouseout on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691526443,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
59,mouseover on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691526617,0.1927021696252465,same,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
60,mouseout on the specified chart,"mark:bar;encoding:-quantitative-y<aggregate>count,Release_Date-nominal-x",1604691526643,0.1927021696252465,modify-1,"['None', 'None', 'Release_Date']","[16, 16, 5]",Sensemaking
63,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-x",1604691538888,0.3209072978303747,same,"['Major_Genre', 'None', 'Release_Date']","[10, 16, 5]",Sensemaking
64,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-x",1604691539087,0.3209072978303747,same,"['Major_Genre', 'None', 'Release_Date']","[10, 16, 5]",Sensemaking
66,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Major_Genre-nominal-y,Release_Date-nominal-x",1604691539187,0.3209072978303747,same,"['Major_Genre', 'None', 'Release_Date']","[10, 16, 5]",Sensemaking
