User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State
2,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602171628725,0.1059171597633136,modify-2,"['None', 'None', 'Title']","[16, 16, 0]",Foraging
7,mouseover on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171639026,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
8,mouseout on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171639562,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
9,mouseover on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171640059,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
10,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641226,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
11,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641271,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
12,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641464,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
13,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641471,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
14,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641503,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
15,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641535,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
16,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641568,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
17,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641602,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
18,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641634,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
19,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641669,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
20,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641701,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
21,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641731,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
22,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641764,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
23,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641798,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
24,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641830,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
25,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641865,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
26,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641897,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
27,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641932,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
28,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641964,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
29,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171641999,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
30,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642030,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
31,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642065,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
32,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642098,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
33,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642131,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
34,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642165,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
35,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642199,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
36,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642230,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
37,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642266,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
38,mouseout on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171642297,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
39,mouseover on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171643345,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
40,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644130,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
41,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644165,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
42,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644198,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
43,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644231,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
44,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644265,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
45,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644298,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
46,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644332,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
47,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644365,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
48,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644398,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
49,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644432,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
50,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644465,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
51,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644500,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
52,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644533,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
53,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644565,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
54,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644599,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
55,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644632,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
56,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644666,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
57,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171644699,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
58,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645666,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
59,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645699,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
60,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645734,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
61,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645766,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
62,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645799,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
63,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645833,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
64,scroll on the specified chart,"mark:tick;encoding:Director-nominal-y,Worldwide_Gross-quantitative-x",1602171645866,0.2479289940828402,same,"['Director', 'None', 'Worldwide_Gross']","[12, 16, 2]",Sensemaking
