Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Angle
start,Foraging,2016-06-07 18:01:49.968,0.4,0.0,0,1,1,0,0.676744,1,0.0
zoom,Foraging,2016-06-07 18:02:12.584,0.3333333333333333,22.616,0,1,1,1,0.626178375,1,0.0
pan,Foraging,2016-06-07 18:02:14.759,0.2857142857142857,2.175,0,1,1,1,0.643234,1,335.858576693525
pan,Foraging,2016-06-07 18:02:16.093,0.375,1.334,0,1,1,1,0.643234,1,10.342191095475295
pan,Foraging,2016-06-07 18:02:18.751,0.4444444444444444,2.658,0,1,1,1,0.643234,1,4.7202549406428815
pan,Foraging,2016-06-07 18:02:19.874,0.5,1.123,10,1,1,1,0.643234,1,5.341611058538692
zoom,Navigation,2016-06-07 18:02:20.442,0.4,0.568,10,1,1,2,0.651013625,1,0.0
pan,Navigation,2016-06-07 18:02:21.732,0.3333333333333333,1.29,10,1,1,2,0.6578195,1,342.2508393121089
zoom,Navigation,2016-06-07 18:02:22.473,0.42857142857142855,0.741,10,1,1,3,0.6572629999999999,1,0.0
pan,Navigation,2016-06-07 18:02:23.453,0.375,0.98,10,1,1,3,0.42908175,1,353.93399430250025
zoom,Navigation,2016-06-07 18:02:24.169,0.4444444444444444,0.716,10,1,1,4,0.645461125,1,0.0
zoom,Navigation,2016-06-07 18:02:25.473,0.5,1.304,10,1,1,5,0.6424013749999999,1,0.0
pan,Sensemaking,2016-06-07 18:02:26.916,0.4,1.443,10,1,1,5,0.6193495,1,1.6921853583433295
pan,Sensemaking,2016-06-07 18:02:46.676,0.5,19.76,10,2,1,5,0.555140625,1,9.259371787361406
zoom,Navigation,2016-06-07 18:02:52.481,0.5454545454545454,5.805,10,3,2,4,0.645461125,1,0.0
zoom,Navigation,2016-06-07 18:02:53.185,0.5833333333333334,0.704,10,3,2,3,0.47314325,1,0.0
zoom,Navigation,2016-06-07 18:02:54.217,0.6153846153846154,1.032,10,3,2,2,0.66253525,1,0.0
pan,Foraging,2016-06-07 18:02:55.351,0.5454545454545454,1.134,10,3,2,2,0.643423625,1,9.417011049300287
pan,Foraging,2016-06-07 18:02:59.009,0.5833333333333334,3.658,10,3,2,2,0.6078665,1,350.25990637150386
pan,Foraging,2016-06-07 18:03:02.644,0.6153846153846154,3.635,0,3,2,2,0.63406,1,338.3458695810843
pan,Foraging,2016-06-07 18:03:04.317,0.6428571428571429,1.673,0,3,2,2,0.63406,1,338.2991658996454
zoom,Foraging,2016-06-07 18:03:05.201,0.2,0.884,0,3,2,1,0.651583625,1,0.0
pan,Foraging,2016-06-07 18:03:06.300,0.625,1.099,0,3,2,1,0.57259225,1,14.062393063557481
pan,Foraging,2016-06-07 18:03:07.788,0.6470588235294118,1.488,0,3,2,1,0.5527610000000001,1,334.31142015727556
pan,Foraging,2016-06-07 18:03:09.123,0.6666666666666666,1.335,0,3,2,1,0.5527610000000001,1,2.148144422420452
zoom,Navigation,2016-06-07 18:03:15.986,0.6428571428571429,6.863,0,3,2,2,0.578702375,1,0.0
zoom,Navigation,2016-06-07 18:03:17.129,0.6666666666666666,1.143,0,3,2,3,0.5953976249999999,1,0.0
pan,Navigation,2016-06-07 18:03:18.171,0.25,1.042,0,3,2,3,0.6093778750000001,1,341.78920015776
pan,Navigation,2016-06-07 18:03:19.788,0.29411764705882354,1.617,0,3,2,3,0.6431485,1,344.2223084845467
zoom,Navigation,2016-06-07 18:03:20.841,0.6111111111111112,1.053,0,3,2,4,0.634366625,1,0.0
zoom,Navigation,2016-06-07 18:03:22.865,0.631578947368421,2.024,0,3,2,5,0.634577625,1,0.0
pan,Sensemaking,2016-06-07 18:03:31.581,0.5714285714285714,8.716,10,3,2,5,0.6431485,1,18.34440273147084
zoom,Navigation,2016-06-07 18:03:33.672,0.65,2.091,10,4,2,4,0.634366625,1,0.0
zoom,Navigation,2016-06-07 18:03:34.065,0.6666666666666666,0.393,10,4,2,3,0.57393425,1,0.0
zoom,Navigation,2016-06-07 18:03:34.521,0.6818181818181818,0.456,10,4,2,2,0.578702375,1,0.0
pan,Foraging,2016-06-07 18:03:35.360,0.6842105263157895,0.839,10,4,2,2,0.6431485,1,28.504356271985102
pan,Foraging,2016-06-07 18:03:35.974,0.7,0.614,10,4,2,2,0.656382375,1,17.732467522767934
pan,Foraging,2016-06-07 18:03:36.674,0.7142857142857143,0.7,10,4,2,2,0.6578195,1,4.5027903896822705
pan,Foraging,2016-06-07 18:03:39.580,0.7272727272727273,2.906,10,4,2,2,0.6578195,1,20.347854433118076
pan,Foraging,2016-06-07 18:03:44.340,0.7391304347826086,4.76,0,4,2,2,0.66188225,1,2.236575559959349
pan,Foraging,2016-06-07 18:03:49.436,0.75,5.096,0,4,2,2,0.6766825,1,1.2974763886364955
pan,Foraging,2016-06-07 18:03:52.171,0.76,2.735,0,4,2,2,0.6078665,1,357.04813892695165
pan,Answering,2016-06-07 18:03:55.164,0.4,2.993,10,4,2,2,0.63406,1,0.0
zoom,Foraging,2016-06-07 18:03:57.784,0.15384615384615385,2.62,10,4,2,3,0.636739375,1,0.0
pan,Foraging,2016-06-07 18:04:02.364,0.7407407407407407,4.58,10,4,2,3,0.6463865,1,14.841382050163784
