Action,State,TimeStamp,StateActionProbab,IdleTime,Reward,Subtask_Screenshot_Time,Subtask_Idle_Time,ZoomLevel,NDSI,Subtask_Zoom,Longitude,Latitude,Angle
start,Foraging,2016-06-08 18:11:47.904,0.4,0.0,0,1,1,0,0.6400338750000001,1,52.125,65.8125,0.0
zoom,Navigation,2016-06-08 18:12:29.704,0.4,41.8,0,1,1,1,0.3800685,1,57.0625,30.9375,0.0
zoom,Navigation,2016-06-08 18:12:30.282,0.5,0.578,0,1,1,2,0.338582375,1,36.5,27.0625,0.0
pan,Sensemaking,2016-06-08 18:12:30.952,0.4,0.67,0,1,1,2,0.49508512499999996,1,113.5,37.0,4.2964811297844365
pan,Sensemaking,2016-06-08 18:12:31.468,0.5,0.516,0,1,1,2,0.6724275,1,152.0,49.0,2.7104076366368983
pan,Sensemaking,2016-06-08 18:12:32.303,0.5714285714285714,0.835,0,1,1,2,0.6329504375,1,93.625,44.5625,354.0117072342424
pan,Sensemaking,2016-06-08 18:12:33.029,0.625,0.726,0,1,1,2,0.6327995,1,89.0,44.5,356.41862811294976
pan,Sensemaking,2016-06-08 18:12:36.733,0.6666666666666666,3.704,0,1,1,2,0.6327995,1,89.0,44.5,22.139052997663022
pan,Sensemaking,2016-06-08 18:12:37.566,0.7,0.833,0,1,1,2,0.6327995,1,89.0,44.5,16.262019923675936
pan,Sensemaking,2016-06-08 18:12:38.057,0.7272727272727273,0.491,0,1,1,2,0.6327995,1,89.0,44.5,15.989408453030618
pan,Sensemaking,2016-06-08 18:12:38.558,0.75,0.501,0,1,1,2,0.6327995,1,89.0,44.5,10.449104883601612
pan,Sensemaking,2016-06-08 18:12:41.054,0.7692307692307693,2.496,0,1,1,2,0.6327995,1,89.0,44.5,354.65973168656296
pan,Sensemaking,2016-06-08 18:12:41.538,0.7857142857142857,0.484,0,1,1,2,0.6442717499999999,1,94.875,45.0625,353.73123340912457
pan,Sensemaking,2016-06-08 18:12:43.919,0.8,2.381,0,1,1,2,0.6327995,1,89.0,44.5,349.54182796799614
pan,Sensemaking,2016-06-08 18:12:44.382,0.8125,0.463,0,1,1,2,0.6327995,1,89.0,44.5,345.46711498911424
pan,Sensemaking,2016-06-08 18:12:44.847,0.8235294117647058,0.465,0,1,1,2,0.65440125,1,99.375,46.375,344.9976598903474
pan,Sensemaking,2016-06-08 18:12:46.016,0.8333333333333334,1.169,0,1,1,2,0.6507815,1,89.5,44.5,354.03955113251976
pan,Sensemaking,2016-06-08 18:12:46.469,0.8421052631578947,0.453,0,1,1,2,0.6507815,1,89.5,44.5,352.34699210202456
pan,Sensemaking,2016-06-08 18:12:47.253,0.85,0.784,0,1,1,2,0.6507815,1,89.5,44.5,354.7926687267055
pan,Sensemaking,2016-06-08 18:12:47.866,0.8571428571428571,0.613,0,1,1,2,0.6324280625,1,105.0,46.375,354.73545198338303
pan,Sensemaking,2016-06-08 18:12:48.709,0.8636363636363636,0.843,0,1,1,2,0.6326205,1,89.5,44.5,350.38979104820686
pan,Sensemaking,2016-06-08 18:12:49.140,0.8695652173913043,0.431,0,1,1,2,0.6326205,1,89.5,44.5,353.39796763610804
pan,Sensemaking,2016-06-08 18:12:49.552,0.875,0.412,0,1,1,2,0.6480446875,1,97.5625,45.375,337.83085121280664
pan,Sensemaking,2016-06-08 18:12:50.472,0.88,0.92,0,1,1,2,0.6433225,1,87.5,44.5,354.4148337380585
pan,Sensemaking,2016-06-08 18:12:50.910,0.8846153846153846,0.438,0,1,1,2,0.6433225,1,87.5,44.5,347.1577773899517
pan,Sensemaking,2016-06-08 18:12:51.359,0.8888888888888888,0.449,0,1,1,2,0.638858375,1,100.125,46.0625,353.5308140449942
pan,Sensemaking,2016-06-08 18:12:52.236,0.8928571428571429,0.877,0,1,1,2,0.6399275,1,89.5,44.5,351.0938898601826
pan,Sensemaking,2016-06-08 18:12:52.637,0.896551724137931,0.401,0,1,1,2,0.6399275,1,89.5,44.5,341.30340156030064
pan,Sensemaking,2016-06-08 18:12:53.096,0.9,0.459,0,1,1,2,0.6533806875,1,102.5,46.125,338.0826394870437
pan,Sensemaking,2016-06-08 18:12:58.773,0.9032258064516129,5.677,0,1,1,2,0.6553595,1,89.5,44.5,333.9156574602256
pan,Sensemaking,2016-06-08 18:12:59.322,0.90625,0.549,0,1,1,2,0.6373518749999999,1,95.25,44.9375,326.8688935851648
pan,Sensemaking,2016-06-08 18:13:00.308,0.9090909090909091,0.986,0,1,1,2,0.6450739999999999,1,78.5,44.5,340.16831157733424
pan,Sensemaking,2016-06-08 18:13:00.798,0.9117647058823529,0.49,0,1,1,2,0.6450739999999999,1,78.5,44.5,316.0891551964627
pan,Sensemaking,2016-06-08 18:13:01.443,0.9142857142857143,0.645,0,1,1,2,0.6537195,1,89.0625,46.5,328.7328570945481
pan,Sensemaking,2016-06-08 18:13:02.295,0.9166666666666666,0.852,0,1,1,2,0.6724585000000001,1,72.5,44.5,277.9113297132802
pan,Sensemaking,2016-06-08 18:13:02.781,0.918918918918919,0.486,0,1,1,2,0.6544165625,1,99.6875,46.9375,314.031962649874
pan,Sensemaking,2016-06-08 18:13:03.715,0.9210526315789473,0.934,0,1,1,2,0.6578195,1,89.5,44.5,344.5933571545161
pan,Sensemaking,2016-06-08 18:13:04.220,0.9230769230769231,0.505,0,1,1,2,0.66972275,1,101.125,46.375,329.41480252698943
pan,Sensemaking,2016-06-08 18:13:05.614,0.925,1.394,0,1,1,2,0.669296,1,89.5,44.5,359.25974090375547
pan,Sensemaking,2016-06-08 18:13:06.974,0.926829268292683,1.36,0,1,1,2,0.669296,1,89.5,44.5,336.22997284486127
pan,Sensemaking,2016-06-08 18:13:08.776,0.9285714285714286,1.802,0,1,1,2,0.669296,1,89.5,44.5,344.5204176718956
pan,Sensemaking,2016-06-08 18:13:09.232,0.9302325581395349,0.456,0,1,1,2,0.663892375,1,102.5625,46.25,332.4310749670508
pan,Sensemaking,2016-06-08 18:13:11.909,0.9318181818181818,2.677,0,1,1,2,0.6571875,1,89.5,44.5,359.06967299215944
pan,Sensemaking,2016-06-08 18:13:12.309,0.9333333333333333,0.4,0,1,1,2,0.6571875,1,89.5,44.5,355.58188043457864
pan,Sensemaking,2016-06-08 18:13:12.901,0.9347826086956522,0.592,0,1,1,2,0.6310904374999999,1,88.1875,47.125,354.43097432569556
pan,Sensemaking,2016-06-08 18:13:13.826,0.9361702127659575,0.925,0,1,1,2,0.6332825,1,73.5,44.5,335.3576029258203
pan,Sensemaking,2016-06-08 18:13:14.273,0.9375,0.447,0,1,1,2,0.657051625,1,103.0625,46.6875,344.3020636304138
