u,Trial,probabsame,minutessame,probabmodify1,minutesmodify1,probabmodify2,minutesmodify2,probabmodify3,minutesmodify3
pro13,0,14,0,6,0,6,0,0,0
pro13,1,46,0,8,0,8,0,0,0
pro15,0,21,0,21,0,9,0,0,0
pro15,1,19,0,13,0,11,0,0,0
pro17,0,66,0,28,0,7,0,7,0
pro17,1,85,0,23,0,12,0,9,0
pro18,0,21,0,26,0,0,0,0,0
pro18,1,7,0,21,0,0,0,0,0
pro20,0,75,0,19,0,29,0,0,0
pro20,1,61,0,9,0,12,0,6,0
pro21,0,76,0,28,0,23,0,6,0
pro21,1,100,0,22,0,13,0,3,0
pro22,0,47,0,7,0,10,0,3,0
pro22,1,45,0,2,0,8,0,1,0
pro23,0,23,0,11,0,5,0,7,0
pro23,1,43,0,0,0,3,0,5,0
pro24,0,37,0,5,0,3,0,4,0
pro24,1,27,0,10,0,9,0,3,0
pro25,0,39,0,8,0,11,0,2,0
pro25,1,41,0,7,0,5,0,1,0
pro29,0,67,0,29,0,6,0,2,0
pro29,1,32,0,13,0,2,0,3,0
pro31,0,41,0,13,0,9,0,6,0
pro31,1,25,0,11,0,9,0,7,0
pro3,0,40,0,15,0,13,0,0,0
pro3,1,38,0,8,0,8,0,1,0
pro5,0,32,0,8,0,8,0,2,0
pro5,1,29,0,7,0,6,0,0,0
pro8,0,19,0,2,0,4,0,5,0
pro8,1,33,0,7,0,4,0,4,0
pro9,0,12,0,9,0,3,0,0,0
pro9,1,50,0,20,0,7,0,3,0
stu10,0,41,0,4,0,4,0,3,0
stu10,1,55,0,2,0,9,0,0,0
stu11,0,27,0,8,0,12,0,5,0
stu11,1,79,0,5,0,18,0,3,0
stu13,0,35,0,8,0,4,0,2,0
stu13,1,29,0,4,0,5,0,3,0
stu15,0,33,0,29,0,15,0,12,0
stu15,1,20,0,37,0,22,0,3,0
stu17,0,13,0,3,0,1,0,0,0
stu17,1,12,0,7,0,9,0,5,0
stu21,0,44,0,15,0,0,0,0,0
stu21,1,31,0,9,0,5,0,0,0
stu24,0,26,0,18,0,4,0,3,0
stu24,1,39,0,17,0,16,0,5,0
stu25,0,43,0,13,0,12,0,15,0
stu25,1,0,0,0,0,1,0,0,0
stu26,0,83,0,36,0,14,0,7,0
stu26,1,130,0,20,0,10,0,6,0
stu29,0,33,0,13,0,10,0,7,0
stu29,1,58,0,13,0,13,0,2,0
stu30,0,39,0,4,0,3,0,21,0
stu30,1,39,0,13,0,12,0,4,0
stu31,0,101,0,12,0,16,0,0,0
stu31,1,31,0,22,0,9,0,0,0
stu36,0,33,0,7,0,3,0,4,0
stu36,1,36,0,13,0,7,0,2,0
stu37,0,17,0,12,0,12,0,14,0
stu37,1,16,0,12,0,7,0,6,0
stu38,0,18,0,16,0,3,0,2,0
stu38,1,34,0,3,0,12,0,4,0
stu39,0,36,0,10,0,12,0,4,0
stu39,1,84,0,12,0,16,0,8,0
stu3,0,68,0,17,0,15,0,4,0
stu3,1,99,0,7,0,8,0,22,0
stu4,0,29,0,8,0,3,0,1,0
stu4,1,2,0,2,0,0,0,2,0
stu6,0,95,0,18,0,25,0,4,0
stu6,1,30,0,2,0,3,0,17,0
stu7,0,28,0,17,0,18,0,0,0
stu7,1,32,0,19,0,11,0,6,0
