time, action, visualization
0:00:00,brush,bar-4
0:00:01,brush,bar-2
0:00:02,brush,bar-4
0:00:57,range select,bar-4
0:01:20,brush,bar-4
0:05:45,range select,bar-4
0:06:34,brush,bar-4
0:06:53,range select,bar-4
0:07:03,range select,scatterplot-0-1
0:07:12,pan,scatterplot-0-1
0:07:14,range select,scatterplot-0-1
0:07:37,brush,bar-4
0:07:53,brush,bar-2
0:07:53,brush,bar-4
0:07:57,range select,scatterplot-0-1
0:08:31,range select,bar-4
0:08:50,range select,scatterplot-0-1
0:10:06,brush,bar-4
0:10:06,brush,bar-2
0:13:31,brush,hist-3
0:14:25,brush,bar-4
0:14:49,brush,hist-3
0:14:58,brush,bar-4
0:15:01,pan,scatterplot-0-1
0:15:07,range select,scatterplot-0-1
0:17:33,zoom,scatterplot-0-1
0:17:35,pan,scatterplot-0-1
0:17:37,zoom,scatterplot-0-1
0:17:38,pan,scatterplot-0-1
0:17:43,zoom,scatterplot-0-1
0:19:14,range select,scatterplot-0-1
0:19:40,brush,bar-4
0:19:40,zoom,scatterplot-0-1
0:19:44,pan,scatterplot-0-1
0:19:48,range select,scatterplot-0-1
0:21:34,brush,bar-4
0:21:34,brush,bar-2
0:21:37,range select,bar-2
0:22:16,brush,hist-3
0:22:16,brush,bar-2
0:23:00,brush,hist-3
0:23:29,range select,hist-3
0:23:33,brush,hist-3
0:23:42,brush,bar-4
0:23:44,zoom,scatterplot-0-1
0:23:45,pan,scatterplot-0-1
0:23:48,zoom,scatterplot-0-1
0:23:49,pan,scatterplot-0-1
0:23:49,brush,bar-4
0:23:50,brush,hist-3
0:24:13,range select,hist-3
0:24:17,brush,hist-3
0:24:20,brush,bar-4
0:24:22,range select,scatterplot-0-1
0:25:04,zoom,scatterplot-0-1
0:25:06,pan,scatterplot-0-1
